group_id,chain_step,custom_id,dependency,previousVersion,newVersion,bump_bc_errors,model,context_variant,llm_detected_errors,match_rate_%
2,0,BBC05,org.springframework:spring-tx,5.3.24,6.0.3,—,—,class,NOT_CAPTURED,—
2,0,BBC104,org.springframework:spring-tx,5.3.24,6.0.2,—,—,class,NOT_CAPTURED,—
2,0,BBC107,org.springframework:spring-tx,5.3.24,6.0.1,—,—,class,NOT_CAPTURED,—
2,0,BBC170,org.springframework:spring-tx,5.3.24,6.0.4,—,—,class,NOT_CAPTURED,—
2,0,BBC186,org.springframework:spring-tx,5.3.24,6.0.0,—,—,class,NOT_CAPTURED,—
2,0,BBC35,org.springframework:spring-tx,5.3.24,6.0.8,—,—,class,NOT_CAPTURED,—
2,0,BBC53,org.springframework:spring-tx,5.3.24,6.0.5,—,—,class,NOT_CAPTURED,—
2,0,BBC81,org.springframework:spring-tx,5.3.24,6.0.6,—,—,class,NOT_CAPTURED,—
15,0,BBC135,org.slf4j:slf4j-api,1.7.32,2.0.2,—,—,class,NOT_CAPTURED,—
15,0,BBC178,org.slf4j:slf4j-api,1.7.32,2.0.3,—,—,class,NOT_CAPTURED,—
15,0,BBC187,org.slf4j:slf4j-api,1.7.32,2.0.0,—,—,class,NOT_CAPTURED,—
15,0,BBC26,org.slf4j:slf4j-api,1.7.32,2.0.5,—,—,class,NOT_CAPTURED,—
15,0,BBC66,org.slf4j:slf4j-api,1.7.32,2.0.1,—,—,class,NOT_CAPTURED,—
15,0,BBC88,org.slf4j:slf4j-api,1.7.32,2.0.4,—,—,class,NOT_CAPTURED,—
15,0,BBC98,org.slf4j:slf4j-api,1.7.32,2.0.6,—,—,class,NOT_CAPTURED,—
28,0,BBC103,org.slf4j:slf4j-api,1.7.36,2.0.5,ClassCastException,GPT-4o,class,AssertionFailedError,
28,0,BBC131,org.slf4j:slf4j-api,1.7.36,2.0.3,ClassCastException,GPT-4o,class,AssertionFailedError,
28,0,BBC131,org.slf4j:slf4j-api,1.7.36,2.0.3,ClassCastException,Qwen-480B,class,AssertionFailedError,
28,0,BBC136,org.slf4j:slf4j-api,1.7.36,2.0.1,ClassCastException,GPT-4o,class,AssertionFailedError,
28,0,BBC162,org.slf4j:slf4j-api,1.7.36,2.0.2,ClassCastException,GPT-4o,class,AssertionFailedError,
28,0,BBC162,org.slf4j:slf4j-api,1.7.36,2.0.2,ClassCastException,Qwen-480B,class,AssertionFailedError,
28,0,BBC167,org.slf4j:slf4j-api,1.7.36,2.0.6,ClassCastException,GPT-4o,class,AssertionFailedError,
28,0,BBC45,org.slf4j:slf4j-api,1.7.36,2.0.4,ClassCastException,GPT-4o,class,AssertionFailedError,
28,0,BBC63,org.slf4j:slf4j-api,1.7.36,2.0.0,ClassCastException,GPT-4o,class,AssertionFailedError,
1,0,BBC111,com.fasterxml.jackson.core:jackson-databind,2.9.10.8,2.13.3,—,—,class,NOT_CAPTURED,—
1,0,BBC119,com.fasterxml.jackson.core:jackson-databind,2.9.10.8,2.13.2.2,—,—,class,NOT_CAPTURED,—
1,0,BBC124,com.fasterxml.jackson.core:jackson-databind,2.9.10.8,2.13.1,—,—,class,NOT_CAPTURED,—
1,0,BBC179,com.fasterxml.jackson.core:jackson-databind,2.9.10.8,2.13.3,—,—,class,NOT_CAPTURED,—
1,0,BBC182,com.fasterxml.jackson.core:jackson-databind,2.9.10.8,2.13.2.1,—,—,class,NOT_CAPTURED,—
1,0,BBC52,com.fasterxml.jackson.core:jackson-databind,2.13.4.2,2.14.0,—,—,class,NOT_CAPTURED,—
1,0,BBC82,com.fasterxml.jackson.core:jackson-databind,2.9.10.8,2.13.2,—,—,class,NOT_CAPTURED,—
8,0,BBC147,com.fasterxml.jackson.core:jackson-databind,2.10.5.1,2.14.2,ClassNotFoundException|NoClassDefFoundError,GPT-4o,class,—,
8,0,BBC33,com.fasterxml.jackson.core:jackson-databind,2.10.5.1,2.14.1,ClassNotFoundException|NoClassDefFoundError,GPT-4o,class,ClassNotFoundException|NoClassDefFoundError,
8,0,BBC33,com.fasterxml.jackson.core:jackson-databind,2.10.5.1,2.14.1,ClassNotFoundException|NoClassDefFoundError,Qwen-480B,class,ClassNotFoundException|NoClassDefFoundError,
8,0,BBC54,com.fasterxml.jackson.core:jackson-databind,2.10.5.1,2.13.4,ClassNotFoundException|NoClassDefFoundError,GPT-4o,class,ClassNotFoundException|NoClassDefFoundError,
8,0,BBC54,com.fasterxml.jackson.core:jackson-databind,2.10.5.1,2.13.4,ClassNotFoundException|NoClassDefFoundError,Qwen-480B,class,—,
8,0,BBC56,com.fasterxml.jackson.core:jackson-databind,2.10.5.1,2.13.4.1,ClassNotFoundException|NoClassDefFoundError,Qwen-480B,class,ClassNotFoundException|NoClassDefFoundError,
8,0,BBC79,com.fasterxml.jackson.core:jackson-databind,2.10.5.1,2.12.7.1,—,—,class,NOT_CAPTURED,—
8,0,BBC83,com.fasterxml.jackson.core:jackson-databind,2.10.5.1,2.13.4.2,—,—,class,NOT_CAPTURED,—
9,0,BBC01,org.eclipse.jetty:jetty-server,9.4.35.v20201120,10.0.10,—,—,class,NOT_CAPTURED,—
9,0,BBC121,org.eclipse.jetty:jetty-server,9.4.35.v20201120,9.4.48.v20220622,—,—,class,NOT_CAPTURED,—
9,0,BBC184,org.eclipse.jetty:jetty-server,9.4.35.v20201120,9.4.49.v20220914,—,—,class,NOT_CAPTURED,—
9,0,BBC51,org.eclipse.jetty:jetty-server,9.4.35.v20201120,9.4.47.v20220610,—,—,class,NOT_CAPTURED,—
9,0,BBC55,org.eclipse.jetty:jetty-server,9.4.35.v20201120,10.0.14,—,—,class,NOT_CAPTURED,—
9,0,BBC80,org.eclipse.jetty:jetty-server,9.4.35.v20201120,9.4.50.v20221201,—,—,class,NOT_CAPTURED,—
4,0,BBC145,org.antlr:antlr4-runtime,4.7.2,4.1,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,GPT-4o,class,—,
4,0,BBC145,org.antlr:antlr4-runtime,4.7.2,4.1,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,Qwen-480B,class,—,
4,0,BBC16,org.antlr:antlr4-runtime,4.7.2,4.12.0,—,—,class,NOT_CAPTURED,—
4,0,BBC70,org.antlr:antlr4-runtime,4.7.2,4.11.1,—,—,class,NOT_CAPTURED,—
4,0,BBC78,org.antlr:antlr4-runtime,4.7.2,4.10.1,—,—,class,NOT_CAPTURED,—
14,0,BBC24,org.slf4j:slf4j-api,1.7.36,2.0.0,—,—,class,NOT_CAPTURED,—
14,0,BBC44,org.slf4j:slf4j-api,1.7.36,2.0.2,—,—,class,NOT_CAPTURED,—
14,0,BBC99,org.slf4j:slf4j-api,1.7.36,2.0.1,—,—,class,NOT_CAPTURED,—
18,0,BBC148,org.mockito:mockito-core,4.11.0,5.3.1,—,—,class,NOT_CAPTURED,—
18,0,BBC41,org.mockito:mockito-core,4.11.0,5.2.0,—,—,class,NOT_CAPTURED,—
18,0,BBC97,org.mockito:mockito-core,4.11.0,5.4.0,—,—,class,NOT_CAPTURED,—
35,0,BBC132,org.apache.logging.log4j:log4j-api,2.16.0,2.20.0,NoClassDefFoundError|NoSuchMethodError,GPT-4o,class,NoClassDefFoundError|NoSuchMethodError,
35,0,BBC132,org.apache.logging.log4j:log4j-api,2.16.0,2.20.0,NoClassDefFoundError|NoSuchMethodError,Qwen-480B,class,NoClassDefFoundError|NoSuchMethodError,
35,0,BBC132,org.apache.logging.log4j:log4j-api,2.16.0,2.20.0,NoClassDefFoundError|NoSuchMethodError,GPT-OSS-120b,class,NoClassDefFoundError|NoSuchMethodError,
35,0,BBC17,org.apache.logging.log4j:log4j-api,2.16.0,2.18.0,NoClassDefFoundError|NoSuchMethodError,GPT-4o,class,NoClassDefFoundError|NoSuchMethodError,
35,0,BBC17,org.apache.logging.log4j:log4j-api,2.16.0,2.18.0,NoClassDefFoundError|NoSuchMethodError,Qwen-480B,class,NoClassDefFoundError|NoSuchMethodError,
35,0,BBC17,org.apache.logging.log4j:log4j-api,2.16.0,2.18.0,NoClassDefFoundError|NoSuchMethodError,GPT-OSS-120b,class,NoClassDefFoundError|NoSuchMethodError,
35,0,BBC49,org.apache.logging.log4j:log4j-api,2.16.0,2.19.0,NoClassDefFoundError|NoSuchMethodError,GPT-4o,class,NoClassDefFoundError|NoSuchMethodError,
35,0,BBC49,org.apache.logging.log4j:log4j-api,2.16.0,2.19.0,NoClassDefFoundError|NoSuchMethodError,Qwen-480B,class,InvocationTargetException|NoClassDefFoundError|NoSuchMethodError,
35,0,BBC49,org.apache.logging.log4j:log4j-api,2.16.0,2.19.0,NoClassDefFoundError|NoSuchMethodError,GPT-OSS-120b,class,NoClassDefFoundError|NoSuchMethodError,
36,0,BBC06,org.apache.logging.log4j:log4j-core,2.16.0,2.19.0,ClassNotFoundException|NoClassDefFoundError,GPT-4o,class,ClassNotFoundException|NoClassDefFoundError,
36,0,BBC06,org.apache.logging.log4j:log4j-core,2.16.0,2.19.0,ClassNotFoundException|NoClassDefFoundError,Qwen-480B,class,AssertionError|ClassNotFoundException|EOFException|InvocationTargetException|NoClassDefFoundError,
36,0,BBC06,org.apache.logging.log4j:log4j-core,2.16.0,2.19.0,ClassNotFoundException|NoClassDefFoundError,GPT-OSS-120b,class,ClassNotFoundException|NoClassDefFoundError,
36,0,BBC165,org.apache.logging.log4j:log4j-core,2.16.0,2.20.0,ClassNotFoundException|NoClassDefFoundError,GPT-4o,class,ClassNotFoundException|NoClassDefFoundError,
36,0,BBC165,org.apache.logging.log4j:log4j-core,2.16.0,2.20.0,ClassNotFoundException|NoClassDefFoundError,Qwen-480B,class,ClassNotFoundException|InvocationTargetException|NoClassDefFoundError,
36,0,BBC165,org.apache.logging.log4j:log4j-core,2.16.0,2.20.0,ClassNotFoundException|NoClassDefFoundError,GPT-OSS-120b,class,ClassNotFoundException|NoClassDefFoundError,
36,0,BBC36,org.apache.logging.log4j:log4j-core,2.16.0,2.18.0,ClassNotFoundException|NoClassDefFoundError,GPT-4o,class,ClassNotFoundException|NoClassDefFoundError,
36,0,BBC36,org.apache.logging.log4j:log4j-core,2.16.0,2.18.0,ClassNotFoundException|NoClassDefFoundError,Qwen-480B,class,ClassNotFoundException|NoClassDefFoundError,
36,0,BBC36,org.apache.logging.log4j:log4j-core,2.16.0,2.18.0,ClassNotFoundException|NoClassDefFoundError,GPT-OSS-120b,class,ClassNotFoundException|NoClassDefFoundError,
37,0,BBC02,com.fasterxml.jackson.core:jackson-databind,2.4.2,2.12.6.1,ClassNotFoundException|NoClassDefFoundError|RuntimeException,—,class,NOT_CAPTURED,—
37,0,BBC03,com.fasterxml.jackson.core:jackson-databind,2.4.2,2.9.10.8,ClassNotFoundException|NoClassDefFoundError|RuntimeException,GPT-4o,class,ClassNotFoundException|NoClassDefFoundError,
37,0,BBC50,com.fasterxml.jackson.core:jackson-databind,2.4.2,2.12.7.1,ClassNotFoundException|NoClassDefFoundError|RuntimeException,GPT-4o,class,ClassNotFoundException|NoClassDefFoundError,
37,0,BBC50,com.fasterxml.jackson.core:jackson-databind,2.4.2,2.12.7.1,ClassNotFoundException|NoClassDefFoundError|RuntimeException,Qwen-480B,class,ClassNotFoundException|NoClassDefFoundError,
31,0,BBC144,org.antlr:antlr4-runtime,4.9.3,4.1,—,—,class,NOT_CAPTURED,—
31,0,BBC74,org.antlr:antlr4-runtime,4.9.3,4.10.1,—,—,class,NOT_CAPTURED,—
34,0,BBC146,com.fasterxml.jackson.core:jackson-databind,2.9.10.3,2.13.4.1,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,GPT-4o,class,ClassNotFoundException|NoClassDefFoundError,
34,0,BBC146,com.fasterxml.jackson.core:jackson-databind,2.9.10.3,2.13.4.1,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,Qwen-480B,class,ClassNotFoundException|NoClassDefFoundError,
