model,context_variant,bump_id,file_name,output_token,input_token
GPT_OSS_120b,minimal,BBC01,BBC01U2Test_prompt.txt,358,858
GPT_OSS_120b,minimal,BBC02,BBC02U0Test_prompt.txt,210,1195
GPT_OSS_120b,minimal,BBC02,BBC02U1Test_prompt.txt,315,834
GPT_OSS_120b,minimal,BBC03,BBC03U0Test_prompt.txt,95,1195
GPT_OSS_120b,minimal,BBC03,BBC03U1Test_prompt.txt,425,834
GPT_OSS_120b,minimal,BBC04,BBC04U0Test_prompt.txt,103,828
GPT_OSS_120b,minimal,BBC04,BBC04U10Test_prompt.txt,245,831
GPT_OSS_120b,minimal,BBC04,BBC04U11Test_prompt.txt,491,837
GPT_OSS_120b,minimal,BBC04,BBC04U12Test_prompt.txt,67,847
GPT_OSS_120b,minimal,BBC04,BBC04U13Test_prompt.txt,658,859
GPT_OSS_120b,minimal,BBC04,BBC04U14Test_prompt.txt,669,870
GPT_OSS_120b,minimal,BBC04,BBC04U15Test_prompt.txt,352,881
GPT_OSS_120b,minimal,BBC04,BBC04U16Test_prompt.txt,389,847
GPT_OSS_120b,minimal,BBC04,BBC04U17Test_prompt.txt,484,854
GPT_OSS_120b,minimal,BBC04,BBC04U18Test_prompt.txt,73,857
GPT_OSS_120b,minimal,BBC04,BBC04U19Test_prompt.txt,474,869
GPT_OSS_120b,minimal,BBC04,BBC04U1Test_prompt.txt,139,831
GPT_OSS_120b,minimal,BBC04,BBC04U20Test_prompt.txt,673,880
GPT_OSS_120b,minimal,BBC04,BBC04U21Test_prompt.txt,538,891
GPT_OSS_120b,minimal,BBC04,BBC04U22Test_prompt.txt,901,857
GPT_OSS_120b,minimal,BBC04,BBC04U23Test_prompt.txt,328,864
GPT_OSS_120b,minimal,BBC04,BBC04U24Test_prompt.txt,532,857
GPT_OSS_120b,minimal,BBC04,BBC04U25Test_prompt.txt,507,852
GPT_OSS_120b,minimal,BBC04,BBC04U26Test_prompt.txt,556,842
GPT_OSS_120b,minimal,BBC04,BBC04U27Test_prompt.txt,441,830
GPT_OSS_120b,minimal,BBC04,BBC04U28Test_prompt.txt,327,840
GPT_OSS_120b,minimal,BBC04,BBC04U29Test_prompt.txt,378,854
GPT_OSS_120b,minimal,BBC04,BBC04U2Test_prompt.txt,795,834
GPT_OSS_120b,minimal,BBC04,BBC04U30Test_prompt.txt,447,843
GPT_OSS_120b,minimal,BBC04,BBC04U31Test_prompt.txt,249,842
GPT_OSS_120b,minimal,BBC04,BBC04U32Test_prompt.txt,204,836
GPT_OSS_120b,minimal,BBC04,BBC04U33Test_prompt.txt,584,836
GPT_OSS_120b,minimal,BBC04,BBC04U34Test_prompt.txt,376,836
GPT_OSS_120b,minimal,BBC04,BBC04U35Test_prompt.txt,193,836
GPT_OSS_120b,minimal,BBC04,BBC04U36Test_prompt.txt,356,834
GPT_OSS_120b,minimal,BBC04,BBC04U37Test_prompt.txt,1112,834
GPT_OSS_120b,minimal,BBC04,BBC04U38Test_prompt.txt,678,830
GPT_OSS_120b,minimal,BBC04,BBC04U39Test_prompt.txt,84,830
GPT_OSS_120b,minimal,BBC04,BBC04U3Test_prompt.txt,474,834
GPT_OSS_120b,minimal,BBC04,BBC04U40Test_prompt.txt,260,840
GPT_OSS_120b,minimal,BBC04,BBC04U41Test_prompt.txt,335,836
GPT_OSS_120b,minimal,BBC04,BBC04U42Test_prompt.txt,420,830
GPT_OSS_120b,minimal,BBC04,BBC04U43Test_prompt.txt,98,830
GPT_OSS_120b,minimal,BBC04,BBC04U44Test_prompt.txt,130,830
GPT_OSS_120b,minimal,BBC04,BBC04U45Test_prompt.txt,407,830
GPT_OSS_120b,minimal,BBC04,BBC04U46Test_prompt.txt,263,838
GPT_OSS_120b,minimal,BBC04,BBC04U47Test_prompt.txt,311,831
GPT_OSS_120b,minimal,BBC04,BBC04U48Test_prompt.txt,468,865
GPT_OSS_120b,minimal,BBC04,BBC04U49Test_prompt.txt,221,910
GPT_OSS_120b,minimal,BBC04,BBC04U4Test_prompt.txt,98,834
GPT_OSS_120b,minimal,BBC04,BBC04U50Test_prompt.txt,228,862
GPT_OSS_120b,minimal,BBC04,BBC04U5Test_prompt.txt,381,827
GPT_OSS_120b,minimal,BBC04,BBC04U6Test_prompt.txt,674,834
GPT_OSS_120b,minimal,BBC04,BBC04U7Test_prompt.txt,441,834
GPT_OSS_120b,minimal,BBC04,BBC04U8Test_prompt.txt,459,851
GPT_OSS_120b,minimal,BBC04,BBC04U9Test_prompt.txt,208,831
GPT_OSS_120b,minimal,BBC05,BBC05U0Test_prompt.txt,467,893
GPT_OSS_120b,minimal,BBC05,BBC05U1Test_prompt.txt,476,856
GPT_OSS_120b,minimal,BBC05,BBC05U2Test_prompt.txt,209,857
GPT_OSS_120b,minimal,BBC05,BBC05U3Test_prompt.txt,405,824
GPT_OSS_120b,minimal,BBC06,BBC06U10Test_prompt.txt,174,872
GPT_OSS_120b,minimal,BBC06,BBC06U112Test_prompt.txt,199,870
GPT_OSS_120b,minimal,BBC06,BBC06U113Test_prompt.txt,558,947
GPT_OSS_120b,minimal,BBC06,BBC06U114Test_prompt.txt,168,849
GPT_OSS_120b,minimal,BBC06,BBC06U115Test_prompt.txt,84,841
