model,context_variant,bump_id,file_name,output_token,input_token
Qwen3_480b_cloud,minimal,BBC01,BBC01U2Test_prompt.txt,407,906
Qwen3_480b_cloud,minimal,BBC02,BBC02U0Test_prompt.txt,267,1192
Qwen3_480b_cloud,minimal,BBC02,BBC02U1Test_prompt.txt,721,841
Qwen3_480b_cloud,minimal,BBC03,BBC03U0Test_prompt.txt,740,1192
Qwen3_480b_cloud,minimal,BBC03,BBC03U1Test_prompt.txt,1259,841
Qwen3_480b_cloud,minimal,BBC04,BBC04U0Test_prompt.txt,258,832
Qwen3_480b_cloud,minimal,BBC04,BBC04U10Test_prompt.txt,240,837
Qwen3_480b_cloud,minimal,BBC04,BBC04U11Test_prompt.txt,507,843
Qwen3_480b_cloud,minimal,BBC04,BBC04U12Test_prompt.txt,421,853
Qwen3_480b_cloud,minimal,BBC04,BBC04U13Test_prompt.txt,262,865
Qwen3_480b_cloud,minimal,BBC04,BBC04U14Test_prompt.txt,864,876
Qwen3_480b_cloud,minimal,BBC04,BBC04U15Test_prompt.txt,263,887
Qwen3_480b_cloud,minimal,BBC04,BBC04U16Test_prompt.txt,343,853
Qwen3_480b_cloud,minimal,BBC04,BBC04U17Test_prompt.txt,709,860
Qwen3_480b_cloud,minimal,BBC04,BBC04U18Test_prompt.txt,367,863
Qwen3_480b_cloud,minimal,BBC04,BBC04U19Test_prompt.txt,355,875
Qwen3_480b_cloud,minimal,BBC04,BBC04U1Test_prompt.txt,110,835
Qwen3_480b_cloud,minimal,BBC04,BBC04U20Test_prompt.txt,347,886
Qwen3_480b_cloud,minimal,BBC04,BBC04U21Test_prompt.txt,644,897
Qwen3_480b_cloud,minimal,BBC04,BBC04U22Test_prompt.txt,270,863
Qwen3_480b_cloud,minimal,BBC04,BBC04U23Test_prompt.txt,277,870
Qwen3_480b_cloud,minimal,BBC04,BBC04U24Test_prompt.txt,276,863
Qwen3_480b_cloud,minimal,BBC04,BBC04U25Test_prompt.txt,397,858
Qwen3_480b_cloud,minimal,BBC04,BBC04U26Test_prompt.txt,466,848
Qwen3_480b_cloud,minimal,BBC04,BBC04U27Test_prompt.txt,387,834
Qwen3_480b_cloud,minimal,BBC04,BBC04U28Test_prompt.txt,723,844
Qwen3_480b_cloud,minimal,BBC04,BBC04U29Test_prompt.txt,317,860
Qwen3_480b_cloud,minimal,BBC04,BBC04U2Test_prompt.txt,224,838
Qwen3_480b_cloud,minimal,BBC04,BBC04U30Test_prompt.txt,277,849
Qwen3_480b_cloud,minimal,BBC04,BBC04U31Test_prompt.txt,237,845
Qwen3_480b_cloud,minimal,BBC04,BBC04U32Test_prompt.txt,168,842
Qwen3_480b_cloud,minimal,BBC04,BBC04U33Test_prompt.txt,237,842
Qwen3_480b_cloud,minimal,BBC04,BBC04U34Test_prompt.txt,153,842
Qwen3_480b_cloud,minimal,BBC04,BBC04U35Test_prompt.txt,140,842
Qwen3_480b_cloud,minimal,BBC04,BBC04U36Test_prompt.txt,211,840
Qwen3_480b_cloud,minimal,BBC04,BBC04U37Test_prompt.txt,321,840
Qwen3_480b_cloud,minimal,BBC04,BBC04U38Test_prompt.txt,332,836
Qwen3_480b_cloud,minimal,BBC04,BBC04U39Test_prompt.txt,570,836
Qwen3_480b_cloud,minimal,BBC04,BBC04U3Test_prompt.txt,107,838
Qwen3_480b_cloud,minimal,BBC04,BBC04U40Test_prompt.txt,445,846
Qwen3_480b_cloud,minimal,BBC04,BBC04U41Test_prompt.txt,250,839
Qwen3_480b_cloud,minimal,BBC04,BBC04U42Test_prompt.txt,282,836
Qwen3_480b_cloud,minimal,BBC04,BBC04U43Test_prompt.txt,272,836
Qwen3_480b_cloud,minimal,BBC04,BBC04U44Test_prompt.txt,287,836
Qwen3_480b_cloud,minimal,BBC04,BBC04U45Test_prompt.txt,141,836
Qwen3_480b_cloud,minimal,BBC04,BBC04U46Test_prompt.txt,207,844
Qwen3_480b_cloud,minimal,BBC04,BBC04U47Test_prompt.txt,257,837
Qwen3_480b_cloud,minimal,BBC04,BBC04U48Test_prompt.txt,547,878
Qwen3_480b_cloud,minimal,BBC04,BBC04U49Test_prompt.txt,286,918
Qwen3_480b_cloud,minimal,BBC04,BBC04U4Test_prompt.txt,214,838
Qwen3_480b_cloud,minimal,BBC04,BBC04U50Test_prompt.txt,736,874
Qwen3_480b_cloud,minimal,BBC04,BBC04U5Test_prompt.txt,364,831
Qwen3_480b_cloud,minimal,BBC04,BBC04U6Test_prompt.txt,428,838
Qwen3_480b_cloud,minimal,BBC04,BBC04U7Test_prompt.txt,190,838
Qwen3_480b_cloud,minimal,BBC04,BBC04U8Test_prompt.txt,129,853
Qwen3_480b_cloud,minimal,BBC04,BBC04U9Test_prompt.txt,287,833
Qwen3_480b_cloud,minimal,BBC05,BBC05U0Test_prompt.txt,308,897
Qwen3_480b_cloud,minimal,BBC05,BBC05U1Test_prompt.txt,296,860
Qwen3_480b_cloud,minimal,BBC05,BBC05U2Test_prompt.txt,438,864
Qwen3_480b_cloud,minimal,BBC05,BBC05U3Test_prompt.txt,120,833
Qwen3_480b_cloud,minimal,BBC06,BBC06U10Test_prompt.txt,430,883
Qwen3_480b_cloud,minimal,BBC06,BBC06U112Test_prompt.txt,306,886
Qwen3_480b_cloud,minimal,BBC06,BBC06U113Test_prompt.txt,973,966
Qwen3_480b_cloud,minimal,BBC06,BBC06U114Test_prompt.txt,537,867
Qwen3_480b_cloud,minimal,BBC06,BBC06U115Test_prompt.txt,334,857
Qwen3_480b_cloud,minimal,BBC06,BBC06U116Test_prompt.txt,565,913
Qwen3_480b_cloud,minimal,BBC06,BBC06U117Test_prompt.txt,194,974
Qwen3_480b_cloud,minimal,BBC06,BBC06U118Test_prompt.txt,323,954
Qwen3_480b_cloud,minimal,BBC06,BBC06U119Test_prompt.txt,338,871
Qwen3_480b_cloud,minimal,BBC06,BBC06U11Test_prompt.txt,442,889
Qwen3_480b_cloud,minimal,BBC06,BBC06U120Test_prompt.txt,258,877
Qwen3_480b_cloud,minimal,BBC06,BBC06U121Test_prompt.txt,380,882
Qwen3_480b_cloud,minimal,BBC06,BBC06U122Test_prompt.txt,151,855
Qwen3_480b_cloud,minimal,BBC06,BBC06U123Test_prompt.txt,191,876
