model,context_variant,bump_id,output_token,input_token,total_token
GPT4o,class,BBC01,342,1918,2260
GPT4o,class,BBC02,804,19617,20421
GPT4o,class,BBC03,805,19617,20422
GPT4o,class,BBC04,52857,121328,174185
GPT4o,class,BBC05,1447,6371,7818
GPT4o,class,BBC06,159242,552246,711488
GPT4o,class,BBC07,3005,80513,83518
GPT4o,class,BBC10,70760,310936,381696
GPT4o,class,BBC101,273745,2682314,2956059
GPT4o,class,BBC103,15582,69888,85470
GPT4o,class,BBC104,1276,6371,7647
GPT4o,class,BBC106,1712,7456,9168
GPT4o,class,BBC107,1526,6371,7897
GPT4o,class,BBC111,1799,12017,13816
GPT4o,class,BBC115,9796,79170,88966
GPT4o,class,BBC118,2533,13516,16049
GPT4o,class,BBC119,1904,12057,13961
GPT4o,class,BBC121,257,1934,2191
GPT4o,class,BBC123,2566,18958,21524
GPT4o,class,BBC124,1866,11947,13813
GPT4o,class,BBC131,15580,69888,85468
GPT4o,class,BBC132,127476,552246,679722
GPT4o,class,BBC135,4078,23370,27448
GPT4o,class,BBC136,15210,69888,85098
GPT4o,class,BBC137,2031,12661,14692
GPT4o,class,BBC143,2541,8317,10858
GPT4o,class,BBC144,12573,110216,122789
GPT4o,class,BBC145,1267,7048,8315
GPT4o,class,BBC146,72090,526785,598875
GPT4o,class,BBC147,17223,358208,375431
GPT4o,class,BBC148,1554,22948,24502
GPT4o,class,BBC150,20138,116368,136506
GPT4o,class,BBC153,2873,13516,16389
GPT4o,class,BBC155,2972,13516,16488
GPT4o,class,BBC158,5523,122680,128203
GPT4o,class,BBC16,1260,7088,8348
GPT4o,class,BBC162,15394,69888,85282
GPT4o,class,BBC165,160093,552246,712339
GPT4o,class,BBC167,16005,69888,85893
GPT4o,class,BBC168,47409,455452,502861
GPT4o,class,BBC17,158077,554646,712723
GPT4o,class,BBC170,1463,6371,7834
GPT4o,class,BBC178,4319,23370,27689
GPT4o,class,BBC179,1967,12017,13984
GPT4o,class,BBC182,2147,12057,14204
GPT4o,class,BBC184,290,1934,2224
GPT4o,class,BBC186,1344,6371,7715
GPT4o,class,BBC187,4213,23370,27583
GPT4o,class,BBC22,70250,310936,381186
GPT4o,class,BBC24,2079,26203,28282
GPT4o,class,BBC26,4574,23370,27944
GPT4o,class,BBC27,74120,526785,600905
GPT4o,class,BBC31,1641,17195,18836
GPT4o,class,BBC33,17395,358208,375603
GPT4o,class,BBC35,1715,6371,8086
GPT4o,class,BBC36,140062,554646,694708
GPT4o,class,BBC41,1566,22948,24514
GPT4o,class,BBC42,6732,37185,43917
GPT4o,class,BBC44,2206,26203,28409
GPT4o,class,BBC45,15655,69888,85543
GPT4o,class,BBC48,34985,17759,52744
GPT4o,class,BBC49,129907,552246,682153
GPT4o,class,BBC50,1099,19617,20716
GPT4o,class,BBC51,254,1934,2188
GPT4o,class,BBC52,1781,12219,14000
GPT4o,class,BBC53,1483,6371,7854
GPT4o,class,BBC54,17682,358208,375890
GPT4o,class,BBC55,396,1918,2314
GPT4o,class,BBC56,17009,358864,375873
GPT4o,class,BBC59,2577,24342,26919
GPT4o,class,BBC60,1791,8513,10304
GPT4o,class,BBC63,14375,69888,84263
GPT4o,class,BBC64,90826,955768,1046594
GPT4o,class,BBC66,4181,23370,27551
GPT4o,class,BBC70,1253,7088,8341
GPT4o,class,BBC72,165356,4709002,4874358
GPT4o,class,BBC73,179881,4709002,4888883
GPT4o,class,BBC74,12590,110448,123038
GPT4o,class,BBC78,1239,7088,8327
GPT4o,class,BBC79,18589,358864,377453
GPT4o,class,BBC80,276,1934,2210
GPT4o,class,BBC81,1472,6371,7843
GPT4o,class,BBC82,1840,12017,13857
GPT4o,class,BBC83,19138,358864,378002
GPT4o,class,BBC88,4396,23370,27766
GPT4o,class,BBC94,716,2871,3587
GPT4o,class,BBC97,1536,22948,24484
GPT4o,class,BBC98,4217,23370,27587
GPT4o,class,BBC99,2306,26203,28509
GPT4o,method,BBC01,274,990,1264
GPT4o,method,BBC02,1757,2743,4500
GPT4o,method,BBC03,1601,2743,4344
GPT4o,method,BBC04,80202,46268,126470
GPT4o,method,BBC05,1199,3916,5115
GPT4o,method,BBC06,117149,349012,466161
GPT4o,method,BBC07,3730,10576,14306
GPT4o,method,BBC10,74175,169846,244021
GPT4o,method,BBC101,225208,657178,882386
GPT4o,method,BBC103,15416,41684,57100
GPT4o,method,BBC104,1360,3916,5276
GPT4o,method,BBC106,1698,4851,6549
GPT4o,method,BBC107,1349,3916,5265
GPT4o,method,BBC111,2177,6455,8632
GPT4o,method,BBC115,8257,23169,31426
GPT4o,method,BBC118,2307,7089,9396
GPT4o,method,BBC119,2381,6495,8876
GPT4o,method,BBC121,240,1006,1246
GPT4o,method,BBC123,3322,12208,15530
GPT4o,method,BBC124,2321,6345,8666
GPT4o,method,BBC131,14571,41684,56255
GPT4o,method,BBC132,118571,349012,467583
GPT4o,method,BBC135,4870,12189,17059
GPT4o,method,BBC136,14325,41684,56009
GPT4o,method,BBC137,18483,7346,25829
GPT4o,method,BBC143,1903,5883,7786
GPT4o,method,BBC144,13650,30951,44601
GPT4o,method,BBC145,1452,4912,6364
GPT4o,method,BBC146,61969,273858,335827
GPT4o,method,BBC147,16150,74639,90789
GPT4o,method,BBC148,1906,10777,12683
GPT4o,method,BBC150,38675,60597,99272
GPT4o,method,BBC153,2209,7089,9298
GPT4o,method,BBC155,2331,7089,9420
GPT4o,method,BBC158,6104,14404,20508
GPT4o,method,BBC16,1259,4952,6211
GPT4o,method,BBC162,14864,41684,56548
GPT4o,method,BBC165,118902,349012,467914
GPT4o,method,BBC167,15184,41684,56868
GPT4o,method,BBC168,47866,127495,175361
GPT4o,method,BBC17,113273,344249,457522
