context_variant,model,instance,oracle_methods_used,assert_calls,bump_bc_errors,llm_detected_errors
Class,GPT4o,BBC03,,,ClassNotFoundException|NoClassDefFoundError|RuntimeException,ClassNotFoundException|NoClassDefFoundError
Class,GPT4o,BBC06,assertEquals|assertNotNull|assertNull|assertTrue|fail,"assertEquals(expectedMD5, actualMD5) [L18] ;; assertEquals(expectedMD5, actualMD5) [L28] ;; fail(msg=""Expected NullPointerException"") [L37] ;; assertNotNull(actualMD5) [L48] ;; assertEquals(32, actualMD5.length()) [L49] ;; assertTrue(true) [L27] ;; fail(msg=""Exception should not be thrown in nominal case: "" + e.getMessage()) [L30] ;; assertTrue(true) [L49] ;; fail(msg=""Exception should not be thrown in boundary case: "" + e.getMessage()) [L52] ;; assertTrue(true) [L71] ;; fail(msg=""Exception should not be thrown in error case: "" + e.getMessage()) [L74] ;; assertEquals(800, width) [L24] ;; assertEquals(1, width) [L37] ;; fail(msg=""Expected an exception to be thrown"") [L48] ;; assertEquals(""java.lang.NullPointerException"", e.getClass().getName()) [L51] ;; assertEquals(""content/contributor/edit-motivation"", viewName) [L42] ;; assertEquals(""content/letter/create"", viewName) [L28] ;; assertNotNull(model.asMap().get(""letter"")) [L29] ;; assertNotNull(model.asMap().get(""timeStart"")) [L30] ;; assertNotNull(result | msg=""The result should not be null"") [L39] ;; assertTrue(result.startsWith(""redirect:"") | msg=""The result should start with 'redirect:'"") [L40] ;; fail(msg=""IOException was not expected: "" + e.getMessage()) [L51] ;; assertEquals(""welcome"", result) [L19] ;; assertEquals(2, letters.size()) [L33] ;; assertEquals(""a"", letter1.getText()) [L36] ;; assertEquals(false, letter1.isDiacritic()) [L37] ;; assertEquals(10, letter1.getUsageCount().intValue()) [L38] ;; assertEquals(""á"", letter2.getText()) [L41] ;; assertEquals(true, letter2.isDiacritic()) [L42] ;; assertEquals(5, letter2.getUsageCount().intValue()) [L43] ;; assertTrue(letters.isEmpty()) [L55] ;; assertEquals(1, letters.size()) [L71] ;; assertEquals(""a"", letter.getText()) [L74] ;; assertEquals(false, letter.isDiacritic()) [L75] ;; assertEquals(0, letter.getUsageCount().intValue()) [L76] ;; assertEquals(SoundType.VOWEL, result) [L22] ;; assertNull(result) [L34] ;; assertNull(result) [L46] ;; assertNull(result) [L58] ;; assertEquals(2, sounds.size()) [L29] ;; assertEquals(""a"", sounds.get(0).getValueIpa()) [L30] ;; assertEquals(""b"", sounds.get(1).getValueIpa()) [L31] ;; assertTrue(sounds.isEmpty()) [L40] ;; assertTrue(sounds.isEmpty()) [L49] ;; assertEquals(""coverImage.jpg"", coverImageReference) [L27] ;; assertNull(coverImageReference) [L50] ;; assertEquals(""coverImage.jpeg"", coverImageReference) [L73] ;; assertNull(coverImageReference) [L88] ;; assertEquals(""This is a test description."", description) [L27] ;; assertNull(description) [L50] ;; assertNull(description) [L65] ;; assertNull(description) [L83] ;; assertEquals(expected1, result1) [L21] ;; assertEquals(expected2, result2) [L26] ;; assertEquals(expected3, result3) [L31] ;; assertEquals(expected4, result4) [L36] ;; assertEquals(expected5, result5) [L41] ;; fail(msg=""Exception occurred: "" + e.getMessage()) [L48]",ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError
Class,GPT4o,BBC103,assertTrue,"assertTrue(logOutput.contains(""Login successful."") | msg=""Expected log message not found."") [L27] ;; assertTrue(outContent.toString().contains(expectedOutput)) [L28]",ClassCastException,AssertionFailedError
Class,GPT4o,BBC131,assertTrue,"assertTrue(logOutput.contains(""Login successful."")) [L27] ;; assertTrue(outContent.toString().contains(expectedLogMessage) | msg=""Expected log message not found."") [L30]",ClassCastException,AssertionFailedError
Class,GPT4o,BBC132,assertEquals|assertNotNull|assertNull|assertTrue|fail,"assertEquals(800, width) [L24] ;; assertEquals(1, width) [L37] ;; fail(msg=""Expected an exception to be thrown"") [L48] ;; assertEquals(""java.lang.NullPointerException"", e.getClass().getName()) [L51] ;; assertEquals(""content/contributor/add-email"", result) [L19] ;; assertEquals(""content/contributor/edit-motivation"", result) [L19] ;; assertEquals(""content/emoji/create"", viewName) [L34] ;; assertNotNull(emoji) [L36] ;; assertNotNull(logger) [L39] ;; assertTrue(result.startsWith(""redirect:"")) [L32] ;; assertTrue(result.contains(""https://discordapp.com/api/oauth2/authorize"")) [L33] ;; assertTrue(true) [L44] ;; assertEquals(""welcome"", result) [L19] ;; assertEquals(2, letters.size()) [L33] ;; assertEquals(""a"", letter1.getText()) [L36] ;; assertEquals(false, letter1.isDiacritic()) [L37] ;; assertEquals(10, letter1.getUsageCount().intValue()) [L38] ;; assertEquals(""á"", letter2.getText()) [L41] ;; assertEquals(true, letter2.isDiacritic()) [L42] ;; assertEquals(5, letter2.getUsageCount().intValue()) [L43] ;; assertTrue(letters.isEmpty()) [L58] ;; assertTrue(letters.isEmpty()) [L70] ;; assertEquals(SoundType.VOWEL, result) [L22] ;; assertNull(result) [L34] ;; assertNull(result) [L46] ;; assertEquals(2, sounds.size()) [L35] ;; assertEquals(""a"", sound1.getValueIpa()) [L38] ;; assertEquals(""b"", sound1.getValueSampa()) [L39] ;; assertTrue(sound1.isDiacritic()) [L40] ;; assertEquals(""VOWEL"", sound1.getSoundType().name()) [L41] ;; assertEquals(10, sound1.getUsageCount().intValue()) [L42] ;; assertEquals(""c"", sound2.getValueIpa()) [L45] ;; assertEquals(""d"", sound2.getValueSampa()) [L46] ;; assertTrue(!sound2.isDiacritic()) [L47] ;; assertEquals(""CONSONANT"", sound2.getSoundType().name()) [L48] ;; assertEquals(20, sound2.getUsageCount().intValue()) [L49] ;; assertEquals(""coverImage.jpg"", coverImageReference) [L25] ;; assertNull(coverImageReference) [L43] ;; assertEquals(""coverImage.jpeg"", coverImageReference) [L61] ;; assertNull(coverImageReference) [L78] ;; assertEquals(""Test Title"", title) [L27] ;; assertNull(title) [L50] ;; assertNull(title) [L65] ;; assertNull(title) [L83]",NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError
Class,GPT4o,BBC136,assertTrue,"assertTrue(outContent.toString().contains(expectedLogMessage) | msg=""Expected log message not found."") [L27] ;; assertTrue(outContent.toString().contains(expectedLogMessage) | msg=""Expected log message not found."") [L30]",ClassCastException,AssertionFailedError
Class,GPT4o,BBC146,assertEquals|assertNotNull|assertNull|assertTrue|fail,"assertNotNull(result) [L17] ;; assertEquals(""test"", result.getName()) [L18] ;; assertEquals(123, result.getValue()) [L19] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L21] ;; assertNull(result) [L31] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L33] ;; assertNotNull(result) [L45] ;; assertEquals(""test"", result.getName()) [L46] ;; assertEquals(123, result.getValue()) [L47] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L49] ;; assertNull(result) [L59] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L61] ;; assertNotNull(result) [L73] ;; assertEquals(""test"", result.getName()) [L74] ;; assertEquals(123, result.getValue()) [L75] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L77] ;; assertNull(result) [L87] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L89] ;; assertNull(result) [L100] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L102] ;; assertEquals(new TestObject(""test"", 123), result) [L43] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L45] ;; assertNull(result) [L55] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L57] ;; assertNull(result) [L67] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L69] ;; assertEquals(new TestObject(""test"", 123), result) [L81] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L83] ;; assertNull(result) [L93] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L95] ;; assertEquals(new TestObject(""test"", 123), result) [L107] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L109] ;; assertNull(result) [L119] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L121] ;; assertNull(result) [L131] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L133] ;; assertNotNull(result) [L19] ;; assertTrue(result.length > 0) [L20] ;; fail(msg=""SerializationException was not expected"") [L22] ;; assertNull(result) [L32] ;; fail(msg=""SerializationException was not expected"") [L34] ;; fail(msg=""SerializationException was expected"") [L47] ;; assertTrue(e.getCause() instanceof JsonProcessingException) [L49] ;; assertNotNull(jsonString) [L16] ;; assertTrue(jsonString.contains(""\""name\"":\""test\"""")) [L17] ;; assertTrue(jsonString.contains(""\""value\"":123"")) [L18] ;; fail(msg=""SerializationException was not expected"") [L20] ;; assertNull(jsonString) [L30] ;; fail(msg=""SerializationException was not expected"") [L32] ;; fail(msg=""SerializationException was expected"") [L43] ;; assertNotNull(e.getCause()) [L45] ;; assertTrue(e.getCause() instanceof com.fasterxml.jackson.core.JsonProcessingException) [L46]",APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError
Class,GPT4o,BBC150,assertEquals|assertFalse|assertNotNull|assertNull|assertTrue|fail,"assertNull(result) [L35] ;; assertEquals(""UTF-8"", result) [L47] ;; assertEquals(""ISO-8859-1"", result) [L59] ;; assertEquals(""UTF-8"", result) [L71] ;; assertEquals(""UTF-8"", result) [L83] ;; assertEquals(""測試"", charMap.getProperty(""测试"")) [L22] ;; fail(msg=""IOException occurred while loading properties file: "" + e.getMessage()) [L29] ;; assertEquals(""測試"", loadedProperties.getProperty(""测试"")) [L31] ;; assertNotNull(currentDateString | msg=""The current date string should not be null"") [L13] ;; assertEquals(14, currentDateString.length() | msg=""The current date string should have the correct length"") [L14] ;; assertTrue(currentDateString.matches(""\\d{14}"") | msg=""The current date string should be numeric"") [L17] ;; assertEquals(3, lineCount) [L27] ;; assertEquals(0, lineCount) [L48] ;; assertEquals(0, lineCount) [L67] ;; assertTrue(srcDir.mkdirs() | msg=""Failed to create source directory"") [L21] ;; assertTrue(subDir.mkdirs() | msg=""Failed to create subdirectory"") [L22] ;; assertTrue(srcFile1.createNewFile() | msg=""Failed to create source file1"") [L23] ;; assertTrue(srcFile2.createNewFile() | msg=""Failed to create source file2"") [L24] ;; assertTrue(desDir.exists() | msg=""Destination directory does not exist"") [L35] ;; assertTrue(desSubDir.exists() | msg=""Destination subdirectory does not exist"") [L36] ;; assertTrue(desFile1.exists() | msg=""Destination file1 does not exist"") [L37] ;; assertTrue(desFile2.exists() | msg=""Destination file2 does not exist"") [L38] ;; fail(msg=""IOException was thrown during test setup: "" + e.getMessage()) [L41] ;; assertFalse(true | msg=""Failed to create source file"") [L20] ;; assertTrue(desFile.exists() | msg=""Destination file should exist after copy"") [L33]",ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError
Class,GPT4o,BBC162,assertTrue,"assertTrue(logOutput.contains(""Login successful."")) [L27] ;; assertTrue(outContent.toString().contains(expectedLogMessage) | msg=""Expected log message not found."") [L30]",ClassCastException,AssertionFailedError
Class,GPT4o,BBC165,assertEquals|assertNotNull|assertNull|assertTrue|fail,"assertEquals(""admin/application/create"", viewName) [L32] ;; assertNotNull(application) [L35] ;; assertEquals(ApplicationStatus.MISSING_APK, application.getApplicationStatus()) [L36] ;; assertNotNull(literacySkills) [L39] ;; assertEquals(LiteracySkill.values().length, literacySkills.length) [L40] ;; assertNotNull(numeracySkills) [L43] ;; assertEquals(NumeracySkill.values().length, numeracySkills.length) [L44] ;; assertEquals(""content/contributor/edit-motivation"", result) [L19] ;; assertEquals(""content/letter/create"", viewName) [L28] ;; assertNotNull(model.asMap().get(""letter"")) [L29] ;; assertNotNull(model.asMap().get(""timeStart"")) [L30] ;; assertEquals(""content/multimedia/image/create"", viewName) [L28] ;; assertNotNull(model.asMap().get(""image"")) [L29] ;; assertNotNull(model.asMap().get(""contentLicenses"")) [L30] ;; assertNotNull(model.asMap().get(""literacySkills"")) [L31] ;; assertNotNull(model.asMap().get(""numeracySkills"")) [L32] ;; assertNotNull(model.asMap().get(""timeStart"")) [L33] ;; assertEquals(""content/storybook/create-from-epub"", viewName) [L31] ;; assertNotNull(model.asMap().get(""storyBook"")) [L32] ;; assertNotNull(model.asMap().get(""timeStart"")) [L33] ;; assertEquals(""sign-on"", result) [L19] ;; assertNotNull(result) [L46] ;; assertTrue(result.startsWith(""redirect:"")) [L47] ;; assertTrue(result.contains(""https://discordapp.com/api/oauth2/authorize"")) [L48] ;; fail(msg=""Exception should not be thrown: "" + e.getMessage()) [L57] ;; assertEquals(""welcome"", result) [L19] ;; assertEquals(2, letters.size()) [L33] ;; assertEquals(""a"", letter1.getText()) [L36] ;; assertEquals(false, letter1.isDiacritic()) [L37] ;; assertEquals(10, letter1.getUsageCount().intValue()) [L38] ;; assertEquals(""á"", letter2.getText()) [L41] ;; assertEquals(true, letter2.isDiacritic()) [L42] ;; assertEquals(5, letter2.getUsageCount().intValue()) [L43] ;; assertTrue(letters.isEmpty()) [L58] ;; assertTrue(letters.isEmpty()) [L70] ;; assertEquals(SoundType.VOWEL, result) [L17] ;; assertNull(result) [L24] ;; assertNull(result) [L31] ;; assertNull(result) [L38] ;; assertEquals(2, sounds.size()) [L35] ;; assertEquals(""a"", sound1.getValueIpa()) [L38] ;; assertEquals(""b"", sound1.getValueSampa()) [L39] ;; assertTrue(sound1.isDiacritic()) [L40] ;; assertEquals(""VOWEL"", sound1.getSoundType().name()) [L41] ;; assertEquals(10, sound1.getUsageCount().intValue()) [L42] ;; assertEquals(""c"", sound2.getValueIpa()) [L45] ;; assertEquals(""d"", sound2.getValueSampa()) [L46] ;; assertTrue(!sound2.isDiacritic()) [L47] ;; assertEquals(""CONSONANT"", sound2.getSoundType().name()) [L48] ;; assertEquals(20, sound2.getUsageCount().intValue()) [L49] ;; assertEquals(""cover.jpg"", coverImageReference) [L25] ;; assertNull(coverImageReference) [L41] ;; assertEquals(""coverImage.jpeg"", coverImageReference) [L57] ;; assertNull(coverImageReference) [L67] ;; assertNull(coverImageReference) [L77] ;; assertEquals(""This is a test description."", description) [L14] ;; assertNull(description) [L22] ;; assertEquals("""", description) [L30] ;; assertNull(description) [L38]",ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError
