context_variant,model,instance,test_file,total_testcases,behavioral,crash,n/a
Class,GPT4o,BBC03,BBC03U0Test.java,1,1,0,0
Class,GPT4o,BBC06,BBC06U112Test.java,4,0,4,0
Class,GPT4o,BBC06,BBC06U113Test.java,3,0,3,0
Class,GPT4o,BBC06,BBC06U115Test.java,3,0,3,0
Class,GPT4o,BBC06,BBC06U140Test.java,1,0,1,0
Class,GPT4o,BBC06,BBC06U153Test.java,1,0,1,0
Class,GPT4o,BBC06,BBC06U276Test.java,1,0,1,0
Class,GPT4o,BBC06,BBC06U286Test.java,1,0,1,0
Class,GPT4o,BBC06,BBC06U43Test.java,1,0,1,0
Class,GPT4o,BBC06,BBC06U61Test.java,3,0,3,0
Class,GPT4o,BBC06,BBC06U63Test.java,4,0,4,0
Class,GPT4o,BBC06,BBC06U64Test.java,3,0,3,0
Class,GPT4o,BBC06,BBC06U68Test.java,1,0,1,0
Class,GPT4o,BBC06,BBC06U69Test.java,1,0,1,0
Class,GPT4o,BBC06,BBC06U72Test.java,4,0,4,0
Class,GPT4o,BBC06,BBC06U73Test.java,4,0,4,0
Class,GPT4o,BBC06,BBC06U76Test.java,1,0,1,0
Class,GPT4o,BBC103,BBC103U1Test.java,1,1,0,0
Class,GPT4o,BBC103,BBC103U3Test.java,1,1,0,0
Class,GPT4o,BBC131,BBC131U1Test.java,1,1,0,0
Class,GPT4o,BBC131,BBC131U3Test.java,1,1,0,0
Class,GPT4o,BBC132,BBC132U115Test.java,3,0,3,0
Class,GPT4o,BBC132,BBC132U136Test.java,1,0,1,0
Class,GPT4o,BBC132,BBC132U140Test.java,1,0,1,0
Class,GPT4o,BBC132,BBC132U144Test.java,1,0,1,0
Class,GPT4o,BBC132,BBC132U276Test.java,2,0,2,0
Class,GPT4o,BBC132,BBC132U286Test.java,1,0,1,0
Class,GPT4o,BBC132,BBC132U43Test.java,1,0,1,0
Class,GPT4o,BBC132,BBC132U61Test.java,3,0,3,0
Class,GPT4o,BBC132,BBC132U63Test.java,3,0,3,0
Class,GPT4o,BBC132,BBC132U64Test.java,1,0,1,0
Class,GPT4o,BBC132,BBC132U72Test.java,4,0,4,0
Class,GPT4o,BBC132,BBC132U74Test.java,4,0,4,0
Class,GPT4o,BBC136,BBC136U1Test.java,1,1,0,0
Class,GPT4o,BBC136,BBC136U3Test.java,1,1,0,0
Class,GPT4o,BBC146,BBC146U0Test.java,7,0,3,4
Class,GPT4o,BBC146,BBC146U2Test.java,8,0,3,5
Class,GPT4o,BBC146,BBC146U3Test.java,3,0,2,1
Class,GPT4o,BBC146,BBC146U4Test.java,3,0,2,1
Class,GPT4o,BBC150,BBC150U1Test.java,5,0,5,0
Class,GPT4o,BBC150,BBC150U21Test.java,1,0,1,0
Class,GPT4o,BBC150,BBC150U38Test.java,1,0,1,0
Class,GPT4o,BBC150,BBC150U47Test.java,3,0,3,0
Class,GPT4o,BBC150,BBC150U4Test.java,1,0,1,0
Class,GPT4o,BBC150,BBC150U5Test.java,1,0,1,0
Class,GPT4o,BBC150,BBC150U6Test.java,1,0,1,0
Class,GPT4o,BBC162,BBC162U1Test.java,1,1,0,0
Class,GPT4o,BBC162,BBC162U3Test.java,1,1,0,0
Class,GPT4o,BBC165,BBC165U122Test.java,1,0,1,0
Class,GPT4o,BBC165,BBC165U140Test.java,1,0,1,0
Class,GPT4o,BBC165,BBC165U153Test.java,1,0,1,0
Class,GPT4o,BBC165,BBC165U178Test.java,1,0,1,0
Class,GPT4o,BBC165,BBC165U233Test.java,1,0,1,0
Class,GPT4o,BBC165,BBC165U275Test.java,1,0,1,0
Class,GPT4o,BBC165,BBC165U276Test.java,1,0,1,0
Class,GPT4o,BBC165,BBC165U286Test.java,1,0,1,0
Class,GPT4o,BBC165,BBC165U43Test.java,1,0,1,0
Class,GPT4o,BBC165,BBC165U61Test.java,3,0,3,0
Class,GPT4o,BBC165,BBC165U63Test.java,4,0,4,0
Class,GPT4o,BBC165,BBC165U64Test.java,1,0,1,0
Class,GPT4o,BBC165,BBC165U72Test.java,5,0,5,0
Class,GPT4o,BBC165,BBC165U73Test.java,4,0,4,0
Class,GPT4o,BBC167,BBC167U1Test.java,1,1,0,0
Class,GPT4o,BBC167,BBC167U3Test.java,1,1,0,0
Class,GPT4o,BBC17,BBC17U118Test.java,1,0,1,0
Class,GPT4o,BBC17,BBC17U132Test.java,1,0,1,0
Class,GPT4o,BBC17,BBC17U138Test.java,1,0,1,0
Class,GPT4o,BBC17,BBC17U213Test.java,1,0,1,0
Class,GPT4o,BBC17,BBC17U230Test.java,1,0,1,0
Class,GPT4o,BBC17,BBC17U280Test.java,1,0,1,0
Class,GPT4o,BBC17,BBC17U281Test.java,1,0,1,0
Class,GPT4o,BBC17,BBC17U42Test.java,1,0,1,0
Class,GPT4o,BBC17,BBC17U57Test.java,1,0,1,0
