context_variant,model,instance,test_file,behavioral_testcases_total,oracle_method,testcases_using_method,pct_of_behavioral
Class,GPT4o,BBC03,BBC03U0Test.java,1,(no explicit assertion),1,100.0
Class,GPT4o,BBC103,BBC103U1Test.java,1,assertTrue,1,100.0
Class,GPT4o,BBC103,BBC103U3Test.java,1,assertTrue,1,100.0
Class,GPT4o,BBC131,BBC131U1Test.java,1,assertTrue,1,100.0
Class,GPT4o,BBC131,BBC131U3Test.java,1,assertTrue,1,100.0
Class,GPT4o,BBC136,BBC136U1Test.java,1,assertTrue,1,100.0
Class,GPT4o,BBC136,BBC136U3Test.java,1,assertTrue,1,100.0
Class,GPT4o,BBC162,BBC162U1Test.java,1,assertTrue,1,100.0
Class,GPT4o,BBC162,BBC162U3Test.java,1,assertTrue,1,100.0
Class,GPT4o,BBC167,BBC167U1Test.java,1,assertTrue,1,100.0
Class,GPT4o,BBC167,BBC167U3Test.java,1,assertTrue,1,100.0
Class,GPT4o,BBC45,BBC45U1Test.java,1,assertTrue,1,100.0
Class,GPT4o,BBC50,BBC50U0Test.java,1,(no explicit assertion),1,100.0
Class,GPT4o,BBC63,BBC63U1Test.java,1,assertTrue,1,100.0
Class,GPT4o,BBC63,BBC63U3Test.java,1,assertTrue,1,100.0
Class,GPTOSS,BBC72,BBC72U244Test.java,2,(no explicit assertion),2,100.0
Class,GPTOSS,BBC72,BBC72U336Test.java,2,(no explicit assertion),2,100.0
Class,GPTOSS,BBC72,BBC72U449Test.java,1,assertDoesNotThrow,1,100.0
Class,GPTOSS,BBC72,BBC72U449Test.java,1,assertNotNull,1,100.0
Class,GPTOSS,BBC72,BBC72U520Test.java,1,assertDoesNotThrow,1,100.0
Class,GPTOSS,BBC72,BBC72U520Test.java,1,assertTrue,1,100.0
Class,GPTOSS,BBC73,BBC73U338Test.java,1,assertDoesNotThrow,1,100.0
Class,Qwen3-coder,BBC06,BBC06U225Test.java,1,assertNotNull,1,100.0
Class,Qwen3-coder,BBC06,BBC06U225Test.java,1,assertTrue,1,100.0
Class,Qwen3-coder,BBC06,BBC06U225Test.java,1,fail,1,100.0
Class,Qwen3-coder,BBC131,BBC131U33Test.java,1,assertTrue,1,100.0
Class,Qwen3-coder,BBC162,BBC162U3Test.java,1,assertTrue,1,100.0
Class,Qwen3-coder,BBC50,BBC50U0Test.java,1,assertNotNull,1,100.0
Class,Qwen3-coder,BBC50,BBC50U0Test.java,1,assertTrue,1,100.0
Class,Qwen3-coder,BBC72,BBC72U379Test.java,1,assertDoesNotThrow,1,100.0
Class,Qwen3-coder,BBC72,BBC72U402Test.java,1,assertDoesNotThrow,1,100.0
Class,Qwen3-coder,BBC73,BBC73U110Test.java,1,assertDoesNotThrow,1,100.0
Class,Qwen3-coder,BBC73,BBC73U110Test.java,1,fail,1,100.0
Class,Qwen3-coder,BBC73,BBC73U361Test.java,1,assertDoesNotThrow,1,100.0
Class,Qwen3-coder,BBC73,BBC73U361Test.java,1,assertTrue,1,100.0
Class,Qwen3-coder,BBC73,BBC73U69Test.java,1,assertDoesNotThrow,1,100.0
Method,GPTOSS,BBC17,BBC17U109Test.java,1,fail,1,100.0
Method,GPTOSS,BBC72,BBC72U309Test.java,1,assertDoesNotThrow,1,100.0
Method,GPTOSS,BBC72,BBC72U347Test.java,1,assertDoesNotThrow,1,100.0
Method,GPTOSS,BBC72,BBC72U347Test.java,1,assertNotNull,1,100.0
Method,GPTOSS,BBC72,BBC72U347Test.java,1,assertTrue,1,100.0
Method,GPTOSS,BBC72,BBC72U387Test.java,1,assertDoesNotThrow,1,100.0
Method,GPTOSS,BBC73,BBC73U234Test.java,1,assertDoesNotThrow,1,100.0
Method,GPTOSS,BBC73,BBC73U310Test.java,1,assertDoesNotThrow,1,100.0
Method,GPTOSS,BBC73,BBC73U373Test.java,2,assertDoesNotThrow,2,100.0
Method,GPTOSS,BBC73,BBC73U434Test.java,1,assertDoesNotThrow,1,100.0
Method,GPTOSS,BBC73,BBC73U434Test.java,1,assertNotNull,1,100.0
Method,GPTOSS,BBC73,BBC73U434Test.java,1,assertTrue,1,100.0
Method,GPTOSS,BBC73,BBC73U523Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC103,BBC103U3Test.java,1,assertTrue,1,100.0
Method,Qwen3-coder,BBC131,BBC131U3Test.java,1,assertTrue,1,100.0
Method,Qwen3-coder,BBC136,BBC136U4Test.java,1,assertTrue,1,100.0
Method,Qwen3-coder,BBC167,BBC167U1Test.java,1,assertTrue,1,100.0
Method,Qwen3-coder,BBC167,BBC167U4Test.java,1,assertTrue,1,100.0
Method,Qwen3-coder,BBC36,BBC36U220Test.java,1,assertNotNull,1,100.0
Method,Qwen3-coder,BBC36,BBC36U220Test.java,1,fail,1,100.0
Method,Qwen3-coder,BBC72,BBC72U248Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U310Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U312Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U329Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U338Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U343Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U352Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U352Test.java,1,assertTrue,1,100.0
Method,Qwen3-coder,BBC72,BBC72U353Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U354Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U368Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U373Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U374Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U384Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U388Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U388Test.java,1,assertTrue,1,100.0
Method,Qwen3-coder,BBC72,BBC72U434Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U449Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U517Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U520Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U521Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U521Test.java,1,assertNotNull,1,100.0
Method,Qwen3-coder,BBC72,BBC72U523Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC72,BBC72U69Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U312Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U319Test.java,1,assertTrue,1,100.0
Method,Qwen3-coder,BBC73,BBC73U319Test.java,1,fail,1,100.0
Method,Qwen3-coder,BBC73,BBC73U329Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U333Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U338Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U343Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U344Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U345Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U347Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U353Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U354Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U361Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U361Test.java,1,fail,1,100.0
Method,Qwen3-coder,BBC73,BBC73U368Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U374Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U379Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U387Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U388Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U450Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U515Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U517Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U520Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U522Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U53Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U54Test.java,1,assertDoesNotThrow,1,100.0
Method,Qwen3-coder,BBC73,BBC73U54Test.java,1,assertTrue,1,100.0
Method,Qwen3-coder,BBC73,BBC73U69Test.java,1,assertDoesNotThrow,1,100.0
Minimal,GPT4o,BBC02,BBC02U0Test.java,1,(no explicit assertion),1,100.0
Minimal,GPT4o,BBC50,BBC50U0Test.java,1,(no explicit assertion),1,100.0
