Model,Context,Instance,TestFile
GPT4o,Class,BBC101,BBC101U100Test.java
GPT4o,Class,BBC101,BBC101U239Test.java
GPT4o,Class,BBC101,BBC101U449Test.java
GPT4o,Class,BBC101,BBC101U729Test.java
GPT4o,Class,BBC146,BBC146U157Test.java
GPT4o,Class,BBC146,BBC146U65Test.java
GPT4o,Class,BBC147,BBC147U45Test.java
GPT4o,Class,BBC165,BBC165U69Test.java
GPT4o,Class,BBC27,BBC27U226Test.java
GPT4o,Class,BBC27,BBC27U55Test.java
GPT4o,Method,BBC06,BBC06U285Test.java
GPT4o,Method,BBC101,BBC101U136Test.java
GPT4o,Method,BBC101,BBC101U603Test.java
GPT4o,Method,BBC165,BBC165U153Test.java
GPT4o,Method,BBC165,BBC165U188Test.java
GPT4o,Method,BBC27,BBC27U7Test.java
GPT4o,Minimal,BBC146,BBC146U283Test.java
GPT4o,Minimal,BBC27,BBC27U1Test.java
GPTOSS,Class,BBC49,BBC49U208Test.java
GPTOSS,Method,BBC165,BBC165U277Test.java
Qwen3-coder,Class,BBC06,BBC06U232Test.java
Qwen3-coder,Class,BBC132,BBC132U231Test.java
Qwen3-coder,Class,BBC132,BBC132U255Test.java
Qwen3-coder,Class,BBC146,BBC146U301Test.java
Qwen3-coder,Class,BBC165,BBC165U196Test.java
Qwen3-coder,Class,BBC165,BBC165U230Test.java
Qwen3-coder,Class,BBC165,BBC165U242Test.java
Qwen3-coder,Class,BBC165,BBC165U286Test.java
Qwen3-coder,Class,BBC17,BBC17U137Test.java
Qwen3-coder,Class,BBC17,BBC17U170Test.java
Qwen3-coder,Class,BBC17,BBC17U218Test.java
Qwen3-coder,Class,BBC27,BBC27U255Test.java
Qwen3-coder,Class,BBC27,BBC27U77Test.java
Qwen3-coder,Class,BBC36,BBC36U202Test.java
Qwen3-coder,Class,BBC36,BBC36U213Test.java
Qwen3-coder,Class,BBC49,BBC49U212Test.java
Qwen3-coder,Class,BBC54,BBC54U20Test.java
Qwen3-coder,Method,BBC06,BBC06U275Test.java
Qwen3-coder,Method,BBC132,BBC132U137Test.java
Qwen3-coder,Method,BBC132,BBC132U240Test.java
Qwen3-coder,Method,BBC17,BBC17U24Test.java
Qwen3-coder,Method,BBC17,BBC17U262Test.java
Qwen3-coder,Method,BBC17,BBC17U64Test.java
Qwen3-coder,Method,BBC33,BBC33U59Test.java
Qwen3-coder,Method,BBC49,BBC49U156Test.java
Qwen3-coder,Method,BBC49,BBC49U280Test.java
Qwen3-coder,Minimal,BBC06,BBC06U178Test.java
Qwen3-coder,Minimal,BBC101,BBC101U110Test.java
Qwen3-coder,Minimal,BBC132,BBC132U152Test.java
Qwen3-coder,Minimal,BBC132,BBC132U278Test.java
Qwen3-coder,Minimal,BBC143,BBC143U2Test.java
Qwen3-coder,Minimal,BBC165,BBC165U158Test.java
Qwen3-coder,Minimal,BBC165,BBC165U166Test.java
Qwen3-coder,Minimal,BBC36,BBC36U136Test.java
Qwen3-coder,Minimal,BBC36,BBC36U139Test.java
Qwen3-coder,Minimal,BBC49,BBC49U239Test.java
Qwen3-coder,Minimal,BBC54,BBC54U12Test.java
Qwen3-coder,Minimal,BBC72,BBC72U468Test.java
