custom_id,clientGithubURL,clientProject,clientProjectOrganisation,breakingCommit,dependencyGroupID,dependencyArtifactID,previousVersion,newVersion,failureCategory,docker_image_breaking,execution_timestamp,execution_success,return_code,execution_time_seconds,tests_run,test_failures,test_errors,test_skipped,num_exceptions,num_failed_tests,num_compilation_errors,num_error_messages,exception_types,first_error_message,all_maven_errors,build_status,error_category,notes,log_file,parsed_errors_file
BBC01,https://github.com/pac4j/dropwizard-pac4j/pull/303,dropwizard-pac4j,pac4j,e3b288f3a1507baf36451c4844d6f360b472e3d1,org.eclipse.jetty,jetty-server,9.4.35.v20201120,10.0.10,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:e3b288f3a1507baf36451c4844d6f360b472e3d1-breaking,2026-01-04T22:22:08.183722,TRUE,0,20.72,4,0,4,0,13,0,0,3,java.lang.NoClassDefFoundError|StopException|java.lang.ClassNotFoundException|MojoFailureException,org/eclipse/jetty/util/component/AbstractLifeCycle$StopException,"Tests run: 4, Failures: 0, Errors: 4, Skipped: 0, Time elapsed: 2.099 s <<< FAILURE! - in org.pac4j.dropwizard.bundle.BundleFactoryTest|org.pac4j.dropwizard.bundle.BundleFactoryTest.emptyPac4jInConfig  Time elapsed: 1.323 s  <<< ERROR!|org.pac4j.dropwizard.bundle.BundleFactoryTest.sessiondisabledForced  Time elapsed: 0.26 s  <<< ERROR!|org.pac4j.dropwizard.bundle.BundleFactoryTest.noPac4jInConfig  Time elapsed: 0.183 s  <<< ERROR!|org.pac4j.dropwizard.bundle.BundleFactoryTest.sessionEnabledForced  Time elapsed: 0.186 s  <<< ERROR!",FAILURE,,,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC01.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC01.json
BBC02,https://github.com/versly/wsdoc/pull/77,wsdoc,versly,8776fe7cd60bd309daf843bc70608ebf963c6761,com.fasterxml.jackson.core,jackson-databind,2.4.2,2.12.6.1,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:8776fe7cd60bd309daf843bc70608ebf963c6761-breaking,2026-01-04T22:22:28.301729,TRUE,0,19.99,59,33,0,0,101,0,0,3,java.lang.NoClassDefFoundError|java.lang.RuntimeException|java.lang.ClassNotFoundException|MojoFailureException,java.lang.NoClassDefFoundError: com/fasterxml/jackson/annotation/JsonMerge,"Tests run: 59, Failures: 33, Errors: 0, Skipped: 0, Time elapsed: 10.249 s <<< FAILURE! - in TestSuite|org.versly.rest.wsdoc.JaxRSRestAnnotationProcessorTest.assertGenericResponse  Time elapsed: 0.216 s  <<< FAILURE!|org.versly.rest.wsdoc.JaxRSRestAnnotationProcessorTest.assertJavaDocComments  Time elapsed: 0.246 s  <<< FAILURE!|org.versly.rest.wsdoc.JaxRSRestAnnotationProcessorTest.assertNoRedundantUriParametersForResource  Time elapsed: 0.157 s  <<< FAILURE!|org.versly.rest.wsdoc.JaxRSRestAnnotationProcessorTest.assertOverriddenPaths  Time elapsed: 0.134 s  <<< FAILURE!",FAILURE,,,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC02.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC02.json
BBC03,https://github.com/versly/wsdoc/pull/75,wsdoc,versly,063cf862c045e0a9e401a539497e34ddaf8332b3,com.fasterxml.jackson.core,jackson-databind,2.4.2,2.9.10.8,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:063cf862c045e0a9e401a539497e34ddaf8332b3-breaking,2026-01-04T22:22:48.088964,TRUE,0,19.66,59,33,0,0,101,0,0,3,java.lang.NoClassDefFoundError|java.lang.RuntimeException|java.lang.ClassNotFoundException|MojoFailureException,java.lang.NoClassDefFoundError: com/fasterxml/jackson/annotation/JsonMerge,"Tests run: 59, Failures: 33, Errors: 0, Skipped: 0, Time elapsed: 10.524 s <<< FAILURE! - in TestSuite|org.versly.rest.wsdoc.JaxRSRestAnnotationProcessorTest.assertGenericResponse  Time elapsed: 0.242 s  <<< FAILURE!|org.versly.rest.wsdoc.JaxRSRestAnnotationProcessorTest.assertJavaDocComments  Time elapsed: 0.264 s  <<< FAILURE!|org.versly.rest.wsdoc.JaxRSRestAnnotationProcessorTest.assertNoRedundantUriParametersForResource  Time elapsed: 0.154 s  <<< FAILURE!|org.versly.rest.wsdoc.JaxRSRestAnnotationProcessorTest.assertOverriddenPaths  Time elapsed: 0.14 s  <<< FAILURE!",FAILURE,,,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC03.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC03.json
BBC04,https://github.com/retest/recheck/pull/1068,recheck,retest,25926ea2f0e0adaec0238bc7623d0a78e70c96bd,org.eclipse.persistence,org.eclipse.persistence.moxy,3.0.2,4.0.1,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:25926ea2f0e0adaec0238bc7623d0a78e70c96bd-breaking,2026-01-04T22:23:18.798014,TRUE,0,30.54,1,0,0,0,23,1,0,4,java.lang.NoClassDefFoundError|java.lang.ExceptionInInitializerError|com.sun.phobos.script.util.ExtendedScriptException|org.mozilla.javascript.JavaScriptException|java.lang.IllegalArgumentException|com.esotericsoftware.kryo.kryo5.KryoException|org.eclipse.persistence.exceptions.ValidationException|org.mozilla.javascript.EcmaError|java.lang.ClassNotFoundException|MojoFailureException,Could not initialize class org.eclipse.persistence.asm.ASMFactory,"Tests run: 24, Failures: 0, Errors: 3, Skipped: 0, Time elapsed: 1.376 s <<< FAILURE! - in de.retest.util.XsdRegressionTest|de.retest.util.XsdRegressionTest.checkXsd(Class)[7]  Time elapsed: 0.048 s  <<< ERROR!|de.retest.util.XsdRegressionTest.checkXsd(Class)[17]  Time elapsed: 0.011 s  <<< ERROR!|de.retest.util.XsdRegressionTest.checkXsd(Class)[19]  Time elapsed: 0.046 s  <<< ERROR!|Tests run: 4, Failures: 0, Errors: 2, Skipped: 1, Time elapsed: 0.202 s <<< FAILURE! - in de.retest.recheck.persistence.xml.XmlFolderPersistenceTest",FAILURE,,,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC04.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC04.json
BBC05,https://github.com/International-Data-Spaces-Association/IDS-Messaging-Services/pull/674,IDS-Messaging-Services,International-Data-Spaces-Association,5e6846a50737c240be6fedb6626f0d32906d10ad,org.springframework,spring-tx,5.3.24,6.0.3,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:5e6846a50737c240be6fedb6626f0d32906d10ad-breaking,2026-01-04T22:24:12.138621,TRUE,0,53.3,3,0,0,0,12,0,0,2,org.springframework.beans.BeanInstantiationException|MojoFailureException|java.net.SocketTimeoutException|java.lang.UnsupportedClassVersionError,Failed to instantiate [org.springframework.test.context.transaction.TransactionalTestExecutionListener]: Unresolvable class definition; nested exception is java.lang.UnsupportedClassVersionError: org/,"Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 0.211 s <<< FAILURE! - in ids.messaging.dispatcher.MessageDispatcherTest|ids.messaging.dispatcher.MessageDispatcherTest  Time elapsed: 0.211 s  <<< ERROR!|Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 0.009 s <<< FAILURE! - in ids.messaging.requests.InfrastructureServiceTest|ids.messaging.requests.InfrastructureServiceTest  Time elapsed: 0.009 s  <<< ERROR!|Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 0.04 s <<< FAILURE! - in ids.messaging.endpoint.MessageControllerTest",FAILURE,,,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC05.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC05.json
BBC06,https://github.com/elimu-ai/webapp/pull/1613,webapp,elimu-ai,20b272092eaf70beed3eb1635ec8062f6b56f808,org.apache.logging.log4j,log4j-core,2.16.0,2.19.0,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:20b272092eaf70beed3eb1635ec8062f6b56f808-breaking,2026-01-04T22:24:30.453610,TRUE,0,18.18,1,0,1,0,94,90,0,7,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,org/apache/logging/log4j/util/ServiceLoaderUtil,"Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 0.646 s <<< FAILURE! - in ai.elimu.dao.SoundDaoTest|initializationError(ai.elimu.dao.SoundDaoTest)  Time elapsed: 0.014 s  <<< ERROR!|Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 0.001 s <<< FAILURE! - in ai.elimu.dao.ContributorDaoTest|initializationError(ai.elimu.dao.ContributorDaoTest)  Time elapsed: 0.001 s  <<< ERROR!|Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 0 s <<< FAILURE! - in ai.elimu.dao.EmojiDaoTest",FAILURE,,,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC06.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC06.json
BBC07,https://github.com/lookfirst/sardine/pull/334,sardine,lookfirst,d4aade950ffc07b63a0140e43ecf930a2c8aec43,org.apache.httpcomponents,httpclient,4.5.1,4.5.13,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:d4aade950ffc07b63a0140e43ecf930a2c8aec43-breaking,2026-01-04T22:24:40.331980,TRUE,0,9.87,3,0,0,0,1,2,0,2,MojoFailureException,"Expected: []m (400 response phra..., but was: [","Failed to execute goal org.apache.maven.plugins:maven-surefire-plugin:2.19:test (default-test) on project sardine: There are test failures.|[ERROR] Please refer to /sardine/target/surefire-reports for the individual test results.|-> [Help 1]|[ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.|Re-run Maven using the -X switch to enable full debug logging.",FAILURE,,,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC07.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC07.json
BBC08,https://github.com/matteobaccan/html2pop3/pull/315,html2pop3,matteobaccan,52c069901110c60553be85f5cc0e1381da26960c,ch.qos.logback,logback-classic,1.4.1,1.4.3,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:52c069901110c60553be85f5cc0e1381da26960c-breaking,2026-01-04T22:24:53.679588,TRUE,0,13.32,2,0,2,0,4,0,0,3,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ch/qos/logback/core/joran/sanity/SanityChecker,"Tests run: 2, Failures: 0, Errors: 2, Skipped: 0, Time elapsed: 0.172 s <<< FAILURE! - in it.baccan.html2pop3.utils.FilterTest|it.baccan.html2pop3.utils.FilterTest.testAdd  Time elapsed: 0.054 s  <<< ERROR!|it.baccan.html2pop3.utils.FilterTest.testIsAllow  Time elapsed: 0.001 s  <<< ERROR!|Errors:|FilterTest.<clinit>:19 » NoClassDefFound ch/qos/logback/core/joran/sanity/SanityChecker",FAILURE,,,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC08.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC08.json
BBC09,https://github.com/retest/recheck.cli/pull/362,recheck.cli,retest,533591407112b14f7ff2d46d515c599eb4674e95,ch.qos.logback,logback-classic,1.2.11,1.4.6,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:533591407112b14f7ff2d46d515c599eb4674e95-breaking,2026-01-04T22:25:05.210355,TRUE,0,11.52,5,0,0,0,3,0,0,0,java.lang.AssertionError|MojoFailureException,"Tests run: 1, Failures: 1, Errors: 0, Skipped: 0, Time elapsed: 0.021 s <<< FAILURE! - in de.retest.recheck.cli.PreConditionTest","Tests run: 1, Failures: 1, Errors: 0, Skipped: 0, Time elapsed: 0.021 s <<< FAILURE! - in de.retest.recheck.cli.PreConditionTest|should_warn_when_not_a_recheck_project  Time elapsed: 0.016 s  <<< FAILURE!|Tests run: 3, Failures: 1, Errors: 0, Skipped: 0, Time elapsed: 0.003 s <<< FAILURE! - in de.retest.recheck.cli.utils.SystemInUtilTest|should_repeatedly_ask_yes_or_no_when_input_is_invalid  Time elapsed: 0 s  <<< FAILURE!|Failures:",FAILURE,,,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC09.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC09.json
BBC10,https://github.com/btrplace/scheduler/pull/441,scheduler,btrplace,db4b37b7cf6b0fe74565f15a03518ba68d4ce1ff,net.minidev,json-smart,2.4.8,2.4.9,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:db4b37b7cf6b0fe74565f15a03518ba68d4ce1ff-breaking,2026-01-04T22:26:44.153347,TRUE,0,97.7,260,0,0,0,9,0,0,2,org.btrplace.json.JSONConverterException|net.minidev.json.parser.ParseException|java.lang.IllegalArgumentException|MojoFailureException,"org.btrplace.json.JSONConverterException: net.minidev.json.parser.ParseException: Malicious payload, having non natural depths, parsing stoped on { at position 141434.","Tests run: 264, Failures: 2, Errors: 0, Skipped: 0, Time elapsed: 70.696 s <<< FAILURE! - in TestSuite|org.btrplace.scheduler.choco.IssuesTest.testIssue100  Time elapsed: 0.06 s  <<< FAILURE!|org.btrplace.scheduler.choco.IssuesTest.testIssue101  Time elapsed: 0.027 s  <<< FAILURE!|Failures:|IssuesTest.testIssue100:535->computable:515 » IllegalArgument org.btrplace.json.JSONConverterException: net.minidev.json.parser.ParseException: Malicious payload, having non natural depths, parsing stoped on { at position 141434.",FAILURE,,,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC10.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC10.json
