custom_id,num_configs_detected,total_configs,detected_in_all_configs,models_detected,variants_detected,model_variant_pairs,bump_bc_failure_category,bump_bc_errors
BBC49,9,9,True,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Class|GPT-4o+Method|GPT-4o+Minimal|GPTOSS-120b+Class|GPTOSS-120b+Method|GPTOSS-120b+Minimal|Qwen-480B+Class|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError
BBC72,9,9,True,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Class|GPT-4o+Method|GPT-4o+Minimal|GPTOSS-120b+Class|GPTOSS-120b+Method|GPTOSS-120b+Minimal|Qwen-480B+Class|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError
BBC73,9,9,True,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Class|GPT-4o+Method|GPT-4o+Minimal|GPTOSS-120b+Class|GPTOSS-120b+Method|GPTOSS-120b+Minimal|Qwen-480B+Class|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError
BBC06,8,9,False,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Class|GPT-4o+Method|GPT-4o+Minimal|GPTOSS-120b+Class|GPTOSS-120b+Method|Qwen-480B+Class|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError
BBC132,8,9,False,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Class|GPT-4o+Method|GPT-4o+Minimal|GPTOSS-120b+Class|GPTOSS-120b+Method|Qwen-480B+Class|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError
BBC165,8,9,False,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Class|GPT-4o+Method|GPT-4o+Minimal|GPTOSS-120b+Class|GPTOSS-120b+Method|Qwen-480B+Class|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError
BBC17,8,9,False,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Class|GPT-4o+Method|GPT-4o+Minimal|GPTOSS-120b+Class|GPTOSS-120b+Method|Qwen-480B+Class|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError
BBC36,7,9,False,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Class|GPT-4o+Minimal|GPTOSS-120b+Class|GPTOSS-120b+Method|Qwen-480B+Class|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError
BBC07,6,9,False,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Class|GPT-4o+Minimal|GPTOSS-120b+Class|Qwen-480B+Class|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,
BBC145,6,9,False,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Class|GPT-4o+Minimal|GPTOSS-120b+Minimal|Qwen-480B+Class|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException
BBC146,6,9,False,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Class|GPT-4o+Method|GPT-4o+Minimal|GPTOSS-120b+Class|Qwen-480B+Class|Qwen-480B+Method,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError
BBC150,6,9,False,GPT-4o|Qwen-480B,Class|Method|Minimal,GPT-4o+Class|GPT-4o+Method|GPT-4o+Minimal|Qwen-480B+Class|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError
BBC27,6,9,False,GPT-4o|Qwen-480B,Class|Method|Minimal,GPT-4o+Class|GPT-4o+Method|GPT-4o+Minimal|Qwen-480B+Class|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError
BBC131,4,9,False,GPT-4o|Qwen-480B,Class|Method|Minimal,GPT-4o+Class|Qwen-480B+Class|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,ClassCastException
BBC33,4,9,False,GPT-4o|Qwen-480B,Class|Method,GPT-4o+Class|GPT-4o+Method|Qwen-480B+Class|Qwen-480B+Method,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError
BBC101,3,9,False,GPT-4o|Qwen-480B,Class|Method|Minimal,GPT-4o+Class|GPT-4o+Method|Qwen-480B+Minimal,TEST_FAILURE,ArchiverException
BBC147,3,9,False,GPT-4o|Qwen-480B,Class|Method,GPT-4o+Class|GPT-4o+Method|Qwen-480B+Method,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError
BBC167,3,9,False,GPT-4o|Qwen-480B,Class|Method|Minimal,GPT-4o+Class|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,ClassCastException
BBC42,3,9,False,GPT-4o|Qwen-480B,Class|Minimal,GPT-4o+Class|GPT-4o+Minimal|Qwen-480B+Class,TEST_FAILURE,ClassNotFoundException|Exception|NoClassDefFoundError|addWithTimeoutError|sendWithCloseError|sendWithIOError|sendWithReadError
BBC50,3,9,False,GPT-4o|Qwen-480B,Class|Minimal,GPT-4o+Class|GPT-4o+Minimal|Qwen-480B+Class,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError|RuntimeException
BBC54,3,9,False,GPT-4o|Qwen-480B,Class|Minimal,GPT-4o+Class|Qwen-480B+Class|Qwen-480B+Minimal,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError
BBC03,2,9,False,GPT-4o|Qwen-480B,Class|Minimal,GPT-4o+Class|Qwen-480B+Minimal,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError|RuntimeException
BBC103,2,9,False,GPT-4o|Qwen-480B,Class|Method,GPT-4o+Class|Qwen-480B+Method,TEST_FAILURE,ClassCastException
BBC136,2,9,False,GPT-4o|Qwen-480B,Class|Method,GPT-4o+Class|Qwen-480B+Method,TEST_FAILURE,ClassCastException
BBC162,2,9,False,GPT-4o|Qwen-480B,Class,GPT-4o+Class|Qwen-480B+Class,TEST_FAILURE,ClassCastException
BBC02,1,9,False,GPT-4o,Minimal,GPT-4o+Minimal,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError|RuntimeException
BBC115,1,9,False,Qwen-480B,Method,Qwen-480B+Method,TEST_FAILURE,JSONException
BBC137,1,9,False,GPT-4o,Minimal,GPT-4o+Minimal,TEST_FAILURE,IOException|JSchException|NoSuchMethodError|RuntimeSshException
BBC143,1,9,False,Qwen-480B,Minimal,Qwen-480B+Minimal,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError
BBC45,1,9,False,GPT-4o,Class,GPT-4o+Class,TEST_FAILURE,ClassCastException
BBC56,1,9,False,Qwen-480B,Class,Qwen-480B+Class,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError
BBC63,1,9,False,GPT-4o,Class,GPT-4o+Class,TEST_FAILURE,ClassCastException
