custom_id,num_configs_undetected,total_configs,undetected_in_all_configs,models_undetected,variants_undetected,model_variant_pairs,bump_bc_failure_category,bump_bc_errors
BBC56,7,9,False,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Class|GPT-4o+Method|GPT-4o+Minimal|GPTOSS-120b+Class|GPTOSS-120b+Method|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError
BBC04,6,9,False,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Class|GPT-4o+Minimal|GPTOSS-120b+Class|Qwen-480B+Class|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,ClassNotFoundException|EcmaError|ExceptionInInitializerError|ExtendedScriptException|IllegalArgumentException|JavaScriptException|KryoException|NoClassDefFoundError|ValidationException
BBC101,6,9,False,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Minimal|GPTOSS-120b+Class|GPTOSS-120b+Method|GPTOSS-120b+Minimal|Qwen-480B+Class|Qwen-480B+Method,TEST_FAILURE,ArchiverException
BBC106,6,9,False,GPT-4o|Qwen-480B,Class|Method|Minimal,GPT-4o+Class|GPT-4o+Method|GPT-4o+Minimal|Qwen-480B+Class|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError|NoSuchFileException
BBC147,6,9,False,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Minimal|GPTOSS-120b+Class|GPTOSS-120b+Method|GPTOSS-120b+Minimal|Qwen-480B+Class|Qwen-480B+Minimal,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError
BBC54,6,9,False,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Method|GPT-4o+Minimal|GPTOSS-120b+Class|GPTOSS-120b+Method|GPTOSS-120b+Minimal|Qwen-480B+Method,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError
BBC63,6,9,False,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Method|GPT-4o+Minimal|GPTOSS-120b+Class|Qwen-480B+Class|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,ClassCastException
BBC103,5,9,False,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Method|GPT-4o+Minimal|GPTOSS-120b+Method|Qwen-480B+Class|Qwen-480B+Minimal,TEST_FAILURE,ClassCastException
BBC136,5,9,False,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Method|GPT-4o+Minimal|GPTOSS-120b+Class|Qwen-480B+Class|Qwen-480B+Minimal,TEST_FAILURE,ClassCastException
BBC45,5,9,False,GPT-4o|Qwen-480B,Class|Method|Minimal,GPT-4o+Method|GPT-4o+Minimal|Qwen-480B+Class|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,ClassCastException
BBC135,4,9,False,GPT-4o|Qwen-480B,Class|Method|Minimal,GPT-4o+Method|GPT-4o+Minimal|Qwen-480B+Class|Qwen-480B+Method,TEST_FAILURE,AssertionError
BBC162,4,9,False,GPT-4o|Qwen-480B,Method|Minimal,GPT-4o+Method|GPT-4o+Minimal|Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,ClassCastException
BBC33,4,9,False,GPT-4o|GPTOSS-120b|Qwen-480B,Class|Method|Minimal,GPT-4o+Minimal|GPTOSS-120b+Class|GPTOSS-120b+Method|Qwen-480B+Minimal,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError
BBC115,3,9,False,GPT-4o|Qwen-480B,Class|Method|Minimal,GPT-4o+Method|Qwen-480B+Class|Qwen-480B+Minimal,TEST_FAILURE,JSONException
BBC131,3,9,False,GPT-4o|GPTOSS-120b,Class|Method|Minimal,GPT-4o+Method|GPT-4o+Minimal|GPTOSS-120b+Class,TEST_FAILURE,ClassCastException
BBC146,3,9,False,GPTOSS-120b|Qwen-480B,Method|Minimal,GPTOSS-120b+Method|GPTOSS-120b+Minimal|Qwen-480B+Minimal,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError
BBC167,3,9,False,GPT-4o|Qwen-480B,Class|Method|Minimal,GPT-4o+Method|GPT-4o+Minimal|Qwen-480B+Class,TEST_FAILURE,ClassCastException
BBC187,3,9,False,GPT-4o|GPTOSS-120b,Method|Minimal,GPT-4o+Method|GPT-4o+Minimal|GPTOSS-120b+Method,TEST_FAILURE,AssertionError
BBC26,3,9,False,GPT-4o|Qwen-480B,Class|Method,GPT-4o+Method|Qwen-480B+Class|Qwen-480B+Method,TEST_FAILURE,AssertionError
BBC27,3,9,False,GPTOSS-120b,Class|Method|Minimal,GPTOSS-120b+Class|GPTOSS-120b+Method|GPTOSS-120b+Minimal,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError
BBC123,2,9,False,GPT-4o|Qwen-480B,Minimal,GPT-4o+Minimal|Qwen-480B+Minimal,TEST_FAILURE,NoSuchMethodError
BBC137,2,9,False,GPT-4o|Qwen-480B,Class,GPT-4o+Class|Qwen-480B+Class,TEST_FAILURE,IOException|JSchException|NoSuchMethodError|RuntimeSshException
BBC178,2,9,False,GPT-4o,Method|Minimal,GPT-4o+Method|GPT-4o+Minimal,TEST_FAILURE,AssertionError
BBC48,2,9,False,GPT-4o|Qwen-480B,Method,GPT-4o+Method|Qwen-480B+Method,TEST_FAILURE,
BBC66,2,9,False,GPT-4o,Method|Minimal,GPT-4o+Method|GPT-4o+Minimal,TEST_FAILURE,AssertionError
BBC88,2,9,False,GPT-4o|GPTOSS-120b,Class|Minimal,GPT-4o+Minimal|GPTOSS-120b+Class,TEST_FAILURE,AssertionError
BBC97,2,9,False,Qwen-480B,Method|Minimal,Qwen-480B+Method|Qwen-480B+Minimal,TEST_FAILURE,AssertionError
BBC98,2,9,False,GPT-4o,Method|Minimal,GPT-4o+Method|GPT-4o+Minimal,TEST_FAILURE,AssertionError
BBC143,1,9,False,Qwen-480B,Class,Qwen-480B+Class,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError
BBC148,1,9,False,Qwen-480B,Method,Qwen-480B+Method,TEST_FAILURE,AssertionError
BBC41,1,9,False,Qwen-480B,Method,Qwen-480B+Method,TEST_FAILURE,AssertionError
BBC42,1,9,False,GPT-4o,Method,GPT-4o+Method,TEST_FAILURE,ClassNotFoundException|Exception|NoClassDefFoundError|addWithTimeoutError|sendWithCloseError|sendWithIOError|sendWithReadError
