model,context_variant,bump_error_type,custom_id,bump_total,in_bump_instance,in_bump_global,llm_triggered,detected,missed,mismatched,novel
GPT-4o,Minimal,RuntimeException,BBC02,8,1,1,0,0,1,0,0
GPT-4o,Minimal,MojoFailureException,BBC02,88,1,1,1,1,0,0,0
GPT-4o,Minimal,NoClassDefFoundError,BBC02,35,1,1,1,1,0,0,0
GPT-4o,Minimal,ClassNotFoundException,BBC02,30,1,1,1,1,0,0,0
GPT-4o,Minimal,MojoFailureException,BBC06,88,1,1,1,1,0,0,0
GPT-4o,Minimal,NoClassDefFoundError,BBC06,35,1,1,1,1,0,0,0
GPT-4o,Minimal,ClassNotFoundException,BBC06,30,1,1,1,1,0,0,0
GPT-4o,Minimal,MojoFailureException,BBC07,88,1,1,1,1,0,0,0
GPT-4o,Minimal,NoSuchMethodError,BBC17,8,1,1,1,1,0,0,0
GPT-4o,Minimal,MojoFailureException,BBC17,88,1,1,1,1,0,0,0
GPT-4o,Minimal,NoClassDefFoundError,BBC17,35,1,1,0,0,1,0,0
GPT-4o,Minimal,IOException,BBC27,3,1,1,0,0,1,0,0
GPT-4o,Minimal,Exception,BBC27,3,1,1,0,0,1,0,0
GPT-4o,Minimal,MojoFailureException,BBC27,88,1,1,1,1,0,0,0
GPT-4o,Minimal,NoClassDefFoundError,BBC27,35,1,1,1,1,0,0,0
GPT-4o,Minimal,APIException,BBC27,2,1,1,0,0,1,0,0
GPT-4o,Minimal,ClassNotFoundException,BBC27,30,1,1,1,1,0,0,0
GPT-4o,Minimal,MojoFailureException,BBC36,88,1,1,1,1,0,0,0
GPT-4o,Minimal,NoClassDefFoundError,BBC36,35,1,1,1,1,0,0,0
GPT-4o,Minimal,ClassNotFoundException,BBC36,30,1,1,1,1,0,0,0
GPT-4o,Minimal,sendWithReadError,BBC42,1,1,1,0,0,1,0,0
GPT-4o,Minimal,sendWithIOError,BBC42,1,1,1,0,0,1,0,0
GPT-4o,Minimal,ClassNotFoundException,BBC42,30,1,1,1,1,0,0,0
GPT-4o,Minimal,MojoFailureException,BBC42,88,1,1,1,1,0,0,0
GPT-4o,Minimal,NoClassDefFoundError,BBC42,35,1,1,1,1,0,0,0
GPT-4o,Minimal,sendWithCloseError,BBC42,1,1,1,0,0,1,0,0
GPT-4o,Minimal,addWithTimeoutError,BBC42,1,1,1,0,0,1,0,0
GPT-4o,Minimal,Exception,BBC42,3,1,1,0,0,1,0,0
GPT-4o,Minimal,NoSuchMethodError,BBC49,8,1,1,1,1,0,0,0
GPT-4o,Minimal,MojoFailureException,BBC49,88,1,1,1,1,0,0,0
GPT-4o,Minimal,NoClassDefFoundError,BBC49,35,1,1,0,0,1,0,0
GPT-4o,Minimal,RuntimeException,BBC50,8,1,1,0,0,1,0,0
GPT-4o,Minimal,MojoFailureException,BBC50,88,1,1,1,1,0,0,0
GPT-4o,Minimal,NoClassDefFoundError,BBC50,35,1,1,1,1,0,0,0
