bump_error_type,bump_total,in_bump_global,model,context_variant,detected,missed,mismatched,novel,detection_rate_%,detected_ids,mismatched_ids,novel_ids,detected_by_any,detected_any_ids
MojoFailureException,88,1,GPT-4o,Minimal,16,1,0,0,18.2,BBC02|BBC06|BBC07|BBC132|BBC137|BBC146|BBC150|BBC165|BBC17|BBC27|BBC36|BBC42|BBC49|BBC50|BBC72|BBC73,,,31,BBC02|BBC03|BBC06|BBC07|BBC101|BBC103|BBC115|BBC131|BBC132|BBC136|BBC137|BBC143|BBC146|BBC147|BBC150|BBC162|BBC165|BBC167|BBC17|BBC27|BBC33|BBC36|BBC42|BBC45|BBC49|BBC50|BBC54|BBC56|BBC63|BBC72|BBC73
MojoFailureException,88,1,GPT-4o,Method,13,0,0,0,14.8,BBC06|BBC101|BBC132|BBC146|BBC147|BBC150|BBC165|BBC17|BBC27|BBC33|BBC49|BBC72|BBC73,,,31,BBC02|BBC03|BBC06|BBC07|BBC101|BBC103|BBC115|BBC131|BBC132|BBC136|BBC137|BBC143|BBC146|BBC147|BBC150|BBC162|BBC165|BBC167|BBC17|BBC27|BBC33|BBC36|BBC42|BBC45|BBC49|BBC50|BBC54|BBC56|BBC63|BBC72|BBC73
MojoFailureException,88,1,GPT-4o,Class,26,1,0,0,29.5,BBC03|BBC06|BBC07|BBC101|BBC103|BBC131|BBC132|BBC136|BBC146|BBC147|BBC150|BBC162|BBC165|BBC167|BBC17|BBC27|BBC33|BBC36|BBC42|BBC45|BBC49|BBC50|BBC54|BBC63|BBC72|BBC73,,,31,BBC02|BBC03|BBC06|BBC07|BBC101|BBC103|BBC115|BBC131|BBC132|BBC136|BBC137|BBC143|BBC146|BBC147|BBC150|BBC162|BBC165|BBC167|BBC17|BBC27|BBC33|BBC36|BBC42|BBC45|BBC49|BBC50|BBC54|BBC56|BBC63|BBC72|BBC73
MojoFailureException,88,1,Qwen-480B,Minimal,17,1,0,0,19.3,BBC03|BBC06|BBC07|BBC101|BBC131|BBC132|BBC143|BBC150|BBC165|BBC167|BBC17|BBC27|BBC36|BBC49|BBC54|BBC72|BBC73,,,31,BBC02|BBC03|BBC06|BBC07|BBC101|BBC103|BBC115|BBC131|BBC132|BBC136|BBC137|BBC143|BBC146|BBC147|BBC150|BBC162|BBC165|BBC167|BBC17|BBC27|BBC33|BBC36|BBC42|BBC45|BBC49|BBC50|BBC54|BBC56|BBC63|BBC72|BBC73
MojoFailureException,88,1,Qwen-480B,Method,19,1,0,0,21.6,BBC06|BBC07|BBC103|BBC115|BBC131|BBC132|BBC136|BBC146|BBC147|BBC150|BBC165|BBC167|BBC17|BBC27|BBC33|BBC36|BBC49|BBC72|BBC73,,,31,BBC02|BBC03|BBC06|BBC07|BBC101|BBC103|BBC115|BBC131|BBC132|BBC136|BBC137|BBC143|BBC146|BBC147|BBC150|BBC162|BBC165|BBC167|BBC17|BBC27|BBC33|BBC36|BBC42|BBC45|BBC49|BBC50|BBC54|BBC56|BBC63|BBC72|BBC73
MojoFailureException,88,1,Qwen-480B,Class,18,2,0,0,20.5,BBC06|BBC07|BBC131|BBC132|BBC146|BBC150|BBC162|BBC165|BBC17|BBC33|BBC36|BBC42|BBC49|BBC50|BBC54|BBC56|BBC72|BBC73,,,31,BBC02|BBC03|BBC06|BBC07|BBC101|BBC103|BBC115|BBC131|BBC132|BBC136|BBC137|BBC143|BBC146|BBC147|BBC150|BBC162|BBC165|BBC167|BBC17|BBC27|BBC33|BBC36|BBC42|BBC45|BBC49|BBC50|BBC54|BBC56|BBC63|BBC72|BBC73
MojoFailureException,88,1,GPT-OSS-120b,Minimal,3,1,0,0,3.4,BBC49|BBC72|BBC73,,,31,BBC02|BBC03|BBC06|BBC07|BBC101|BBC103|BBC115|BBC131|BBC132|BBC136|BBC137|BBC143|BBC146|BBC147|BBC150|BBC162|BBC165|BBC167|BBC17|BBC27|BBC33|BBC36|BBC42|BBC45|BBC49|BBC50|BBC54|BBC56|BBC63|BBC72|BBC73
MojoFailureException,88,1,GPT-OSS-120b,Method,8,0,0,0,9.1,BBC06|BBC132|BBC165|BBC17|BBC36|BBC49|BBC72|BBC73,,,31,BBC02|BBC03|BBC06|BBC07|BBC101|BBC103|BBC115|BBC131|BBC132|BBC136|BBC137|BBC143|BBC146|BBC147|BBC150|BBC162|BBC165|BBC167|BBC17|BBC27|BBC33|BBC36|BBC42|BBC45|BBC49|BBC50|BBC54|BBC56|BBC63|BBC72|BBC73
MojoFailureException,88,1,GPT-OSS-120b,Class,10,0,0,0,11.4,BBC06|BBC07|BBC132|BBC146|BBC165|BBC17|BBC36|BBC49|BBC72|BBC73,,,31,BBC02|BBC03|BBC06|BBC07|BBC101|BBC103|BBC115|BBC131|BBC132|BBC136|BBC137|BBC143|BBC146|BBC147|BBC150|BBC162|BBC165|BBC167|BBC17|BBC27|BBC33|BBC36|BBC42|BBC45|BBC49|BBC50|BBC54|BBC56|BBC63|BBC72|BBC73
NoClassDefFoundError,35,1,GPT-4o,Minimal,11,3,0,0,31.4,BBC02|BBC06|BBC146|BBC150|BBC165|BBC27|BBC36|BBC42|BBC50|BBC72|BBC73,,,19,BBC02|BBC03|BBC06|BBC132|BBC146|BBC147|BBC150|BBC165|BBC17|BBC27|BBC33|BBC36|BBC42|BBC49|BBC50|BBC54|BBC56|BBC72|BBC73
