Model,Context,Instance,DetectedTestFileCount,DetectedBCTestCount
GPT-OSS,Minimal,BBC145,1,1
GPT-OSS,Minimal,BBC49,1,1
GPT-OSS,Minimal,BBC72,1,1
GPT-OSS,Minimal,BBC73,5,7
Qwen3-coder,Class,BBC06,99,119
Qwen3-coder,Class,BBC07,2,2
Qwen3-coder,Class,BBC131,1,1
Qwen3-coder,Class,BBC132,100,117
Qwen3-coder,Class,BBC145,1,1
Qwen3-coder,Class,BBC146,2,5
Qwen3-coder,Class,BBC150,9,21
Qwen3-coder,Class,BBC162,1,1
Qwen3-coder,Class,BBC165,104,125
Qwen3-coder,Class,BBC17,106,131
Qwen3-coder,Class,BBC27,2,2
Qwen3-coder,Class,BBC33,1,3
Qwen3-coder,Class,BBC36,101,133
Qwen3-coder,Class,BBC42,2,5
Qwen3-coder,Class,BBC49,97,117
Qwen3-coder,Class,BBC50,1,1
Qwen3-coder,Class,BBC54,1,1
Qwen3-coder,Class,BBC56,1,1
Qwen3-coder,Class,BBC72,49,65
Qwen3-coder,Class,BBC73,47,56
GPT-4o,Method,BBC06,24,38
GPT-4o,Method,BBC101,2,2
GPT-4o,Method,BBC132,23,35
GPT-4o,Method,BBC146,2,3
GPT-4o,Method,BBC147,1,1
GPT-4o,Method,BBC150,5,9
GPT-4o,Method,BBC165,28,42
GPT-4o,Method,BBC17,24,38
GPT-4o,Method,BBC27,3,5
GPT-4o,Method,BBC33,3,3
GPT-4o,Method,BBC49,24,38
GPT-4o,Method,BBC72,80,87
GPT-4o,Method,BBC73,82,92
Qwen3-coder,Minimal,BBC03,1,3
Qwen3-coder,Minimal,BBC06,80,82
Qwen3-coder,Minimal,BBC07,6,6
Qwen3-coder,Minimal,BBC101,1,1
Qwen3-coder,Minimal,BBC131,1,1
Qwen3-coder,Minimal,BBC132,96,104
Qwen3-coder,Minimal,BBC143,1,1
Qwen3-coder,Minimal,BBC145,2,2
Qwen3-coder,Minimal,BBC150,2,2
Qwen3-coder,Minimal,BBC165,91,98
Qwen3-coder,Minimal,BBC167,1,1
Qwen3-coder,Minimal,BBC17,77,78
Qwen3-coder,Minimal,BBC27,1,5
Qwen3-coder,Minimal,BBC36,69,70
Qwen3-coder,Minimal,BBC49,86,90
Qwen3-coder,Minimal,BBC54,1,1
Qwen3-coder,Minimal,BBC72,75,84
Qwen3-coder,Minimal,BBC73,82,88
Qwen3-coder,Method,BBC06,75,97
Qwen3-coder,Method,BBC07,6,6
Qwen3-coder,Method,BBC103,1,1
Qwen3-coder,Method,BBC115,1,1
Qwen3-coder,Method,BBC131,1,1
Qwen3-coder,Method,BBC132,87,120
Qwen3-coder,Method,BBC136,1,1
Qwen3-coder,Method,BBC145,2,2
Qwen3-coder,Method,BBC146,1,1
Qwen3-coder,Method,BBC147,1,1
Qwen3-coder,Method,BBC150,4,17
Qwen3-coder,Method,BBC165,80,110
Qwen3-coder,Method,BBC167,2,2
Qwen3-coder,Method,BBC17,91,105
Qwen3-coder,Method,BBC27,1,2
Qwen3-coder,Method,BBC33,2,2
Qwen3-coder,Method,BBC36,83,102
Qwen3-coder,Method,BBC49,92,130
Qwen3-coder,Method,BBC72,68,76
Qwen3-coder,Method,BBC73,72,85
GPT-OSS,Class,BBC06,9,13
GPT-OSS,Class,BBC07,1,1
GPT-OSS,Class,BBC132,6,12
GPT-OSS,Class,BBC146,1,1
GPT-OSS,Class,BBC165,7,16
GPT-OSS,Class,BBC17,3,6
GPT-OSS,Class,BBC36,10,17
GPT-OSS,Class,BBC49,5,7
GPT-OSS,Class,BBC72,16,21
GPT-OSS,Class,BBC73,11,15
GPT-OSS,Method,BBC06,5,10
GPT-OSS,Method,BBC132,11,16
GPT-OSS,Method,BBC165,13,24
GPT-OSS,Method,BBC17,9,17
GPT-OSS,Method,BBC36,14,26
GPT-OSS,Method,BBC49,7,11
GPT-OSS,Method,BBC72,8,9
GPT-OSS,Method,BBC73,11,13
GPT-4o,Minimal,BBC02,1,1
GPT-4o,Minimal,BBC06,11,11
GPT-4o,Minimal,BBC07,3,3
GPT-4o,Minimal,BBC132,11,11
GPT-4o,Minimal,BBC137,1,1
GPT-4o,Minimal,BBC145,1,1
GPT-4o,Minimal,BBC146,2,4
GPT-4o,Minimal,BBC150,5,5
GPT-4o,Minimal,BBC165,11,11
GPT-4o,Minimal,BBC17,10,10
GPT-4o,Minimal,BBC27,3,5
