dependencyArtifactID,uniqueClientProjectsCount
antlr4-runtime,2
dropwizard-sentry,1
dss-pades-pdfbox,1
github-api,1
google-extensions,1
guice,1
h2,1
hibernate-validator,3
httpclient,1
jackson-core,1
jackson-databind,9
jackson-dataformat-cbor,1
jakarta.xml.bind-api,3
javaee-api,1
jaxb-impl,1
jersey-server,1
jetty-server,1
js-scriptengine,1
json,1
json-smart,1
jsoup,1
junit-jupiter-engine,1
junit-jupiter-params,1
junit-platform-surefire-provider,1
kotlin-stdlib,1
log4j-api,2
log4j-core,5
logback-classic,2
mockito-core,2
okhttp,1
org.eclipse.persistence.moxy,1
plexus-io,1
plexus-utils,3
quarkus-google-cloud-common-grpc,1
slf4j-api,7
spring-tx,1
spring-webmvc,1
sshd-common,1
sshd-core,1
surefire-junit4,1
surefire-junit47,1
versions-maven-plugin,1
xstream,1
