custom_id,clientGithubURL,clientProject,clientProjectOrganisation,breakingCommit,dependencyGroupID,dependencyArtifactID,previousVersion,newVersion,failureCategory,libraryGithubURL,ClientCloneStatus,LibraryCloneStatus,LibraryRepoFolder,ActualImportBase
BBC07,https://github.com/lookfirst/sardine/pull/334,sardine,lookfirst,d4aade950ffc07b63a0140e43ecf930a2c8aec43,org.apache.httpcomponents,httpclient,4.5.1,4.5.13,TEST_FAILURE,https://github.com/apache/httpcomponents-client,Cloned,Cloned,httpcomponents-client,org.apache.http.impl.client
BBC08,https://github.com/matteobaccan/html2pop3/pull/315,html2pop3,matteobaccan,52c069901110c60553be85f5cc0e1381da26960c,ch.qos.logback,logback-classic,1.4.1,1.4.3,TEST_FAILURE,https://github.com/qos-ch/logback,Cloned,Cloned,logback,ch.qos.logback
BBC09,https://github.com/retest/recheck.cli/pull/362,recheck.cli,retest,533591407112b14f7ff2d46d515c599eb4674e95,ch.qos.logback,logback-classic,1.2.11,1.4.6,TEST_FAILURE,https://github.com/qos-ch/logback,Cloned,Cloned,logback,ch.qos.logback
BBC11,https://github.com/quarkiverse/quarkus-micrometer-registry/pull/314,quarkus-micrometer-registry,quarkiverse,fb40f5e5fc20ca31cf9fdadd5ace53f7de5ea093,io.quarkiverse.googlecloudservices,quarkus-google-cloud-common-grpc,1.4.0,2.2.0,TEST_FAILURE,https://github.com/quarkiverse/quarkus-google-cloud-services,Cloned,Cloned,quarkus-google-cloud-services,io.quarkus:quarkus-grpc
BBC12,https://github.com/alphagov/pay-adminusers/pull/1746,pay-adminusers,alphagov,d4b00540f924069034a93ef4c14e4cc950dd5368,org.slf4j,slf4j-api,1.7.36,2.0.4,TEST_FAILURE,https://github.com/qos-ch/slf4j,Cloned,Cloned,slf4j,org.slf4j
BBC13,https://github.com/pac4j/dropwizard-pac4j/pull/326,dropwizard-pac4j,pac4j,6b2f30ebeacbc54b3b86971b2f2513c7ba9cf872,org.hibernate.validator,hibernate-validator,6.2.4.Final,8.0.0.Final,TEST_FAILURE,https://github.com/hibernate/hibernate-validator,Cloned,Cloned,hibernate-validator,org.hibernate.validator
BBC14,https://github.com/matteobaccan/html2pop3/pull/312,html2pop3,matteobaccan,dec73a7c634142d631306f8cf201e228fe3ebcc6,ch.qos.logback,logback-classic,1.4.1,1.4.3,TEST_FAILURE,https://github.com/qos-ch/logback,Cloned,Cloned,logback,ch.qos.logback
BBC18,https://github.com/spotify/semantic-metrics/pull/132,semantic-metrics,spotify,851e6b1628f8ecb86db912dc5431a496ddf02148,com.squareup.okhttp3,okhttp,3.3.1,3.14.9,TEST_FAILURE,https://github.com/square/okhttp,Cloned,Cloned,okhttp,okhttp3.recipes
BBC21,https://github.com/pholser/junit-quickcheck/pull/483,junit-quickcheck,pholser,0ee8b9376b967938e8efd89a0959214a30d1b3fb,org.mockito,mockito-core,4.11.0,5.1.1,TEST_FAILURE,https://github.com/mockito/mockito,Cloned,Cloned,mockito,org.mockito.internal
BBC23,https://github.com/s4u/sign-maven-plugin/pull/144,sign-maven-plugin,s4u,d154a6b3665305fda43a95a66c8df415d1d4c041,org.slf4j,slf4j-api,1.7.36,2.0.5,TEST_FAILURE,https://github.com/qos-ch/slf4j,Cloned,Cloned,slf4j,org.slf4j
BBC24,https://github.com/jadler-mocking/jadler/pull/267,jadler,jadler-mocking,8e1f764e628fbcd6813c9dc0329854ac46375c83,org.slf4j,slf4j-api,1.7.36,2.0.0,TEST_FAILURE,https://github.com/qos-ch/slf4j,Cloned,Cloned,slf4j,org.slf4j
BBC25,https://github.com/geosolutions-it/geostore/pull/248,geostore,geosolutions-it,9c0f1348f89dffae4ad0d4f7e1906fc8c8ba8dca,com.h2database,h2,1.3.175,2.1.210,TEST_FAILURE,https://github.com/h2database/h2database,Cloned,Cloned,h2database,org.h2.test
BBC26,https://github.com/searls/jasmine-maven-plugin/pull/584,jasmine-maven-plugin,searls,d2fb00d2a9b8268caf773f70985f39be6eae8ea7,org.slf4j,slf4j-api,1.7.32,2.0.5,TEST_FAILURE,https://github.com/qos-ch/slf4j,Cloned,Cloned,slf4j,org.slf4j
BBC28,https://github.com/premium-minds/billy/pull/267,billy,premium-minds,6ee4bf66c141d1f756b6ccd793a64fb499ab46c8,org.hibernate.validator,hibernate-validator,6.1.7.Final,7.0.3.Final,TEST_FAILURE,https://github.com/hibernate/hibernate-validator,Cloned,Cloned,hibernate-validator,org.hibernate.validator
BBC38,https://github.com/pac4j/dropwizard-pac4j/pull/366,dropwizard-pac4j,pac4j,474422dcefb61cf1460c9f218a11b7ba693725c2,org.glassfish.jersey.core,jersey-server,2.32,2.39,TEST_FAILURE,https://github.com/eclipse-ee4j/jersey,Cloned,Cloned,jersey,org.glassfish.jersey
BBC39,https://github.com/alphagov/pay-adminusers/pull/1763,pay-adminusers,alphagov,14e2c8d47384137d1fff33d9a1441af3d1ef29a3,org.slf4j,slf4j-api,1.7.36,2.0.5,TEST_FAILURE,https://github.com/qos-ch/slf4j,Cloned,Cloned,slf4j,org.slf4j
BBC41,https://github.com/pholser/junit-quickcheck/pull/490,junit-quickcheck,pholser,8b057977647445aade80627a06bd65867f64b948,org.mockito,mockito-core,4.11.0,5.2.0,TEST_FAILURE,https://github.com/mockito/mockito,Cloned,Cloned,mockito,org.mockito.internal
BBC43,https://github.com/googleapis/java-datastore/pull/700,java-datastore,googleapis,746846c51abe7965b025db5f7cd5b4a16fa6e535,org.apache.maven.surefire,surefire-junit47,3.0.0-M5,3.0.0-M6,TEST_FAILURE,https://github.com/apache/maven-surefire,Cloned,Cloned,maven-surefire,org.apache.maven
BBC44,https://github.com/jadler-mocking/jadler/pull/275,jadler,jadler-mocking,c4071651dc726b94d118e67b4d76e1979661ffda,org.slf4j,slf4j-api,1.7.36,2.0.2,TEST_FAILURE,https://github.com/qos-ch/slf4j,Cloned,Cloned,slf4j,org.slf4j
