custom_id,clientGithubURL,clientProject,clientProjectOrganisation,breakingCommit,dependencyGroupID,dependencyArtifactID,previousVersion,newVersion,failureCategory,libraryGithubURL,ClientCloneStatus,LibraryCloneStatus,LibraryRepoFolder,ActualImportBase
BBC08,https://github.com/matteobaccan/html2pop3/pull/315,html2pop3,matteobaccan,52c069901110c60553be85f5cc0e1381da26960c,ch.qos.logback,logback-classic,1.4.1,1.4.3,TEST_FAILURE,https://github.com/qos-ch/logback,Cloned,Cloned,logback,ch.qos.logback
BBC09,https://github.com/retest/recheck.cli/pull/362,recheck.cli,retest,533591407112b14f7ff2d46d515c599eb4674e95,ch.qos.logback,logback-classic,1.2.11,1.4.6,TEST_FAILURE,https://github.com/qos-ch/logback,Cloned,Cloned,logback,ch.qos.logback
BBC11,https://github.com/quarkiverse/quarkus-micrometer-registry/pull/314,quarkus-micrometer-registry,quarkiverse,fb40f5e5fc20ca31cf9fdadd5ace53f7de5ea093,io.quarkiverse.googlecloudservices,quarkus-google-cloud-common-grpc,1.4.0,2.2.0,TEST_FAILURE,https://github.com/quarkiverse/quarkus-google-cloud-services,Cloned,Cloned,quarkus-google-cloud-services,io.quarkiverse.googlecloudservices
BBC12,https://github.com/alphagov/pay-adminusers/pull/1746,pay-adminusers,alphagov,d4b00540f924069034a93ef4c14e4cc950dd5368,org.slf4j,slf4j-api,1.7.36,2.0.4,TEST_FAILURE,https://github.com/qos-ch/slf4j,Cloned,Cloned,slf4j,org.slf4j
BBC13,https://github.com/pac4j/dropwizard-pac4j/pull/326,dropwizard-pac4j,pac4j,6b2f30ebeacbc54b3b86971b2f2513c7ba9cf872,org.hibernate.validator,hibernate-validator,6.2.4.Final,8.0.0.Final,TEST_FAILURE,https://github.com/hibernate/hibernate-validator,Cloned,Cloned,hibernate-validator,org.hibernate.validator
BBC14,https://github.com/matteobaccan/html2pop3/pull/312,html2pop3,matteobaccan,dec73a7c634142d631306f8cf201e228fe3ebcc6,ch.qos.logback,logback-classic,1.4.1,1.4.3,TEST_FAILURE,https://github.com/qos-ch/logback,Cloned,Cloned,logback,ch.qos.logback
BBC18,https://github.com/spotify/semantic-metrics/pull/132,semantic-metrics,spotify,851e6b1628f8ecb86db912dc5431a496ddf02148,com.squareup.okhttp3,okhttp,3.3.1,3.14.9,TEST_FAILURE,https://github.com/square/okhttp,Cloned,Cloned,okhttp,okhttp3.recipes
BBC21,https://github.com/pholser/junit-quickcheck/pull/483,junit-quickcheck,pholser,0ee8b9376b967938e8efd89a0959214a30d1b3fb,org.mockito,mockito-core,4.11.0,5.1.1,TEST_FAILURE,https://github.com/mockito/mockito,Cloned,Cloned,mockito,org.mockito.internal
BBC25,https://github.com/geosolutions-it/geostore/pull/248,geostore,geosolutions-it,9c0f1348f89dffae4ad0d4f7e1906fc8c8ba8dca,com.h2database,h2,1.3.175,2.1.210,TEST_FAILURE,https://github.com/h2database/h2database,Cloned,Cloned,h2database,org.h2.test
BBC28,https://github.com/premium-minds/billy/pull/267,billy,premium-minds,6ee4bf66c141d1f756b6ccd793a64fb499ab46c8,org.hibernate.validator,hibernate-validator,6.1.7.Final,7.0.3.Final,TEST_FAILURE,https://github.com/hibernate/hibernate-validator,Cloned,Cloned,hibernate-validator,org.hibernate.validator
BBC38,https://github.com/pac4j/dropwizard-pac4j/pull/366,dropwizard-pac4j,pac4j,474422dcefb61cf1460c9f218a11b7ba693725c2,org.glassfish.jersey.core,jersey-server,2.32,2.39,TEST_FAILURE,https://github.com/eclipse-ee4j/jersey,Cloned,Cloned,jersey,org.glassfish.jersey
BBC39,https://github.com/alphagov/pay-adminusers/pull/1763,pay-adminusers,alphagov,14e2c8d47384137d1fff33d9a1441af3d1ef29a3,org.slf4j,slf4j-api,1.7.36,2.0.5,TEST_FAILURE,https://github.com/qos-ch/slf4j,Cloned,Cloned,slf4j,org.slf4j
BBC41,https://github.com/pholser/junit-quickcheck/pull/490,junit-quickcheck,pholser,8b057977647445aade80627a06bd65867f64b948,org.mockito,mockito-core,4.11.0,5.2.0,TEST_FAILURE,https://github.com/mockito/mockito,Cloned,Cloned,mockito,org.mockito
BBC43,https://github.com/googleapis/java-datastore/pull/700,java-datastore,googleapis,746846c51abe7965b025db5f7cd5b4a16fa6e535,org.apache.maven.surefire,surefire-junit47,3.0.0-M5,3.0.0-M6,TEST_FAILURE,https://github.com/apache/maven-surefire,Cloned,Cloned,maven-surefire,org.apache.maven
BBC46,https://github.com/pmckeown/dependency-track-maven-plugin/pull/335,dependency-track-maven-plugin,pmckeown,72bb17e6e5f31139e268355362afabdb36c9714f,com.sun.xml.bind,jaxb-impl,2.3.3,4.0.1,TEST_FAILURE,https://github.com/eclipse-ee4j/jaxb-ri,Cloned,Cloned,jaxb-ri,com.sun.tools
BBC48,https://github.com/googleapis/gax-java/pull/1957,gax-java,googleapis,9b63e53888ebdd9c84f4eec3cb661299dea41344,org.mockito,mockito-core,4.11.0,5.1.0,TEST_FAILURE,https://github.com/mockito/mockito,Cloned,Cloned,mockito,org.mockito
BBC57,https://github.com/camunda-community-hub/camunda-platform-7-camel/pull/72,camunda-platform-7-camel,camunda-community-hub,a9c9228182e2e46c98643332f65b0fe372f0a9e4,jakarta.xml.bind,jakarta.xml.bind-api,2.3.2,3.0.1,TEST_FAILURE,https://github.com/jakartaee/jaxb-api,Cloned,Cloned,jaxb-api,jakarta.xml.bind
BBC58,https://github.com/premium-minds/billy/pull/235,billy,premium-minds,f951ead97d14eb29e625d14c2ed5258949728ee4,org.hibernate.validator,hibernate-validator,6.1.7.Final,7.0.2.Final,TEST_FAILURE,https://github.com/hibernate/hibernate-validator,Cloned,Cloned,hibernate-validator,org.hibernate.validator
BBC61,https://github.com/feedzai/pdb/pull/364,pdb,feedzai,04c07b066b60a2e9d4f797b98dcd439a3a42f0b9,org.slf4j,slf4j-api,1.7.36,2.0.4,TEST_FAILURE,https://github.com/qos-ch/slf4j,Cloned,Cloned,slf4j,org.slf4j
BBC65,https://github.com/alphagov/pay-cardid/pull/675,pay-cardid,alphagov,dd75e8070babe8916e4907885fce513d9cb26b80,org.dhatim,dropwizard-sentry,2.0.22,2.0.25-2,TEST_FAILURE,https://github.com/dhatim/dropwizard-sentry,Cloned,Cloned,dropwizard-sentry,org.dhatim.dropwizard
BBC69,https://github.com/pac4j/dropwizard-pac4j/pull/377,dropwizard-pac4j,pac4j,b9f3ed467fa1dddb9e315325f5411349378d467c,org.glassfish.jersey.core,jersey-server,2.32,2.39.1,TEST_FAILURE,https://github.com/eclipse-ee4j/jersey,Cloned,Cloned,jersey,org.glassfish.jersey
BBC71,https://github.com/alphagov/pay-adminusers/pull/1604,pay-adminusers,alphagov,ff77ec9ef379e9fee5f45f4fd88230e9bbbe4b89,org.slf4j,slf4j-api,1.7.36,2.0.2,TEST_FAILURE,https://github.com/qos-ch/slf4j,Cloned,Cloned,slf4j,org.slf4j
BBC75,https://github.com/pmckeown/dependency-track-maven-plugin/pull/392,dependency-track-maven-plugin,pmckeown,94380c9eb5be989b7e60e0353a03b03ff4687674,com.google.inject,guice,5.1.0,7.0.0,TEST_FAILURE,https://github.com/google/guice,Cloned,Cloned,guice,com.google.inject
BBC76,https://github.com/fmtn/a/pull/219,a,fmtn,0c088ff435224b168f93d2a20b829af940bb67dd,org.graalvm.js,js-scriptengine,22.3.2,23.0.1,TEST_FAILURE,https://github.com/graalvm/graaljs,Cloned,Cloned,graaljs,com.oracle.truffle
BBC77,https://github.com/matteobaccan/html2pop3/pull/376,html2pop3,matteobaccan,a18e08bb3fe120b33a5864ee94305a72290ef831,ch.qos.logback,logback-classic,1.4.5,1.4.6,TEST_FAILURE,https://github.com/qos-ch/logback,Cloned,Cloned,logback,ch.qos.logback
