dependencyArtifactID,githubURL
jetty-server,https://github.com/jetty/jetty.project
jackson-databind,https://github.com/FasterXML/jackson-databind
org.eclipse.persistence.moxy,https://github.com/eclipse-ee4j/eclipselink
spring-tx,https://github.com/spring-projects/spring-framework
log4j-core,https://github.com/apache/logging-log4j2
httpclient,https://github.com/apache/httpcomponents-client
logback-classic,https://github.com/qos-ch/logback
json-smart,https://github.com/netplex/json-smart-v2
quarkus-google-cloud-common-grpc,https://github.com/quarkiverse/quarkus-google-cloud-services
slf4j-api,https://github.com/qos-ch/slf4j
hibernate-validator,https://github.com/hibernate/hibernate-validator
github-api,Artifact Not Found
antlr4-runtime,https://github.com/antlr/antlr4
log4j-api,https://github.com/apache/logging-log4j2
okhttp,https://github.com/square/okhttp
junit-platform-surefire-provider,https://github.com/junit-team/junit5
mockito-core,https://github.com/mockito/mockito
h2,https://github.com/h2database/h2database
jsoup,https://github.com/jhy/jsoup
plexus-utils,https://github.com/codehaus-plexus/plexus-utils
jersey-server,https://github.com/eclipse-ee4j/jersey
junit-jupiter-engine,https://github.com/junit-team/junit5
surefire-junit47,https://github.com/apache/maven-surefire
jaxb-impl,https://github.com/eclipse-ee4j/jaxb-ri
jakarta.xml.bind-api,https://github.com/jakartaee/jaxb-api
versions-maven-plugin,https://github.com/mojohaus/versions
dropwizard-sentry,https://github.com/dhatim/dropwizard-sentry
junit-jupiter-params,https://github.com/junit-team/junit5
guice,https://github.com/google/guice
js-scriptengine,https://github.com/graalvm/graaljs
kotlin-stdlib,https://github.com/JetBrains/kotlin
plexus-io,https://github.com/codehaus-plexus/plexus-io
surefire-junit4,https://github.com/apache/maven-surefire
json,https://github.com/douglascrockford/JSON-java
sshd-core,https://github.com/apache/mina-sshd
dss-pades-pdfbox,https://github.com/esig/dss
sshd-common,https://github.com/apache/mina-sshd
javaee-api,https://github.com/javaee/glassfish
spring-webmvc,https://github.com/spring-projects/spring-framework
jackson-dataformat-cbor,https://github.com/FasterXML/jackson-dataformats-binary
jackson-core,https://github.com/FasterXML/jackson-core
xstream,https://github.com/x-stream/xstream
google-extensions,https://github.com/google/flogger
