clientProject,url
dropwizard-pac4j,https://github.com/pac4j/dropwizard-pac4j/pull/303
wsdoc,https://github.com/versly/wsdoc/pull/77
recheck,https://github.com/retest/recheck/pull/1068
IDS-Messaging-Services,https://github.com/International-Data-Spaces-Association/IDS-Messaging-Services/pull/674
webapp,https://github.com/elimu-ai/webapp/pull/1613
sardine,https://github.com/lookfirst/sardine/pull/334
html2pop3,https://github.com/matteobaccan/html2pop3/pull/315
recheck.cli,https://github.com/retest/recheck.cli/pull/362
scheduler,https://github.com/btrplace/scheduler/pull/441
quarkus-micrometer-registry,https://github.com/quarkiverse/quarkus-micrometer-registry/pull/314
pay-adminusers,https://github.com/alphagov/pay-adminusers/pull/1746
github-checks-plugin,https://github.com/jenkinsci/github-checks-plugin/pull/265
Refactoring-Bot,https://github.com/Refactoring-Bot/Refactoring-Bot/pull/112
semantic-metrics,https://github.com/spotify/semantic-metrics/pull/132
junit-quickcheck,https://github.com/pholser/junit-quickcheck/pull/483
sign-maven-plugin,https://github.com/s4u/sign-maven-plugin/pull/144
jadler,https://github.com/jadler-mocking/jadler/pull/267
geostore,https://github.com/geosolutions-it/geostore/pull/248
jasmine-maven-plugin,https://github.com/searls/jasmine-maven-plugin/pull/584
tamtam-bot-api,https://github.com/tamtam-chat/tamtam-bot-api/pull/23
billy,https://github.com/premium-minds/billy/pull/267
sparql.anything,https://github.com/SPARQL-Anything/sparql.anything/pull/303
jspc-maven-plugin,https://github.com/leonardehrenfried/jspc-maven-plugin/pull/165
http,https://github.com/artipie/http/pull/552
kafka-connect-splunk,https://github.com/splunk/kafka-connect-splunk/pull/327
java-datastore,https://github.com/googleapis/java-datastore/pull/700
dependency-track-maven-plugin,https://github.com/pmckeown/dependency-track-maven-plugin/pull/335
gax-java,https://github.com/googleapis/gax-java/pull/1957
camunda-platform-7-camel,https://github.com/camunda-community-hub/camunda-platform-7-camel/pull/72
incrementals-tools,https://github.com/jenkinsci/incrementals-tools/pull/69
license-maven-plugin,https://github.com/mathieucarbou/license-maven-plugin/pull/562
pdb,https://github.com/feedzai/pdb/pull/364
ORCID-Source,https://github.com/ORCID/ORCID-Source/pull/6501
pay-cardid,https://github.com/alphagov/pay-cardid/pull/675
pgpverify-maven-plugin,https://github.com/s4u/pgpverify-maven-plugin/pull/479
neqsim,https://github.com/equinor/neqsim/pull/483
a,https://github.com/fmtn/a/pull/219
polyglot-maven,https://github.com/takari/polyglot-maven/pull/241
plexus-archiver,https://github.com/codehaus-plexus/plexus-archiver/pull/207
JsonUnit,https://github.com/lukas-krecan/JsonUnit/pull/498
simplelocalize-cli,https://github.com/simplelocalize/simplelocalize-cli/pull/53
geoserver-shell,https://github.com/jericks/geoserver-shell/pull/15
avans,https://github.com/tokuhirom/avans/pull/87
jcabi-ssh,https://github.com/jcabi/jcabi-ssh/pull/144
jcabi-simpledb,https://github.com/jcabi/jcabi-simpledb/pull/22
open-pdf-sign,https://github.com/open-pdf-sign/open-pdf-sign/pull/9
oripa,https://github.com/oripa/oripa/pull/164
missinglink,https://github.com/spotify/missinglink/pull/321
directory-scimple,https://github.com/apache/directory-scimple/pull/49
dddsample-core,https://github.com/citerus/dddsample-core/pull/121
lti-launch,https://github.com/kstateome/lti-launch/pull/35
ApkToolBoxGUI,https://github.com/jiangxincode/ApkToolBoxGUI/pull/125
jcabi-http,https://github.com/jcabi/jcabi-http/pull/408
logging-chainsaw,https://github.com/apache/logging-chainsaw/pull/14
java-pubsublite,https://github.com/googleapis/java-pubsublite/pull/901
quickperf,https://github.com/quick-perf/quickperf/pull/168
